season,team,gp,points,points_pct,wins,reg_wins,goal_diff
20242025,CAR,82,99,0.6037,47,42,33
20242025,FLA,82,98,0.5976,47,37,29
20242025,OTT,82,97,0.5915,45,35,9
20242025,MIN,82,97,0.5915,45,33,-11
20242025,STL,82,96,0.5854,44,32,21
20242025,CGY,82,96,0.5854,41,31,-13
20242025,NJD,82,91,0.5549,42,36,20
20242025,MTL,82,91,0.5549,40,30,-20
20242025,VAN,82,90,0.5488,38,28,-17
20242025,UTA,82,89,0.5427,38,30,-10
20242025,CBJ,82,89,0.5427,40,30,5
20242025,DET,82,86,0.5244,39,30,-21
20242025,NYR,82,85,0.5183,39,35,1
20242025,NYI,82,82,0.5,35,28,-36
20242025,PIT,82,80,0.4878,34,24,-50
20242025,ANA,82,80,0.4878,35,24,-42
20242025,BUF,82,79,0.4817,36,29,-20
20242025,SEA,82,76,0.4634,35,28,-18
20242025,BOS,82,76,0.4634,33,26,-50
20242025,PHI,82,76,0.4634,33,21,-48
20242025,NSH,82,68,0.4146,30,24,-60
20242025,CHI,82,61,0.372,25,20,-70
20242025,SJS,82,52,0.3171,20,14,-105
