player_name,player_id,team_2526,offensive_composite,defensive_score,twoway_composite,rush_against_per60,ci_confirmed,trend,total_toi_mins,sample_confidence
Artyom Levshunov,8484783,CHI,0.0000,0.5780,0.2312,25.2229,,,1056.1833,Low
John Carlson,8474590,LAK,0.0000,0.5759,0.2304,25.2642,,,9689.5833,High
Dylan Samberg,8480049,WPG,0.0000,0.5744,0.2298,25.2953,,,5030.9667,High
Mikey Anderson,8479998,LAK,0.0000,0.5742,0.2297,25.2996,,,8677.6167,High
Jayden Struble,8481593,TOR,0.0000,0.5726,0.2291,25.3310,,,2243.1000,Medium
Jack Quinn,8482097,BUF,0.0000,0.5725,0.2290,25.3335,,,3351.3000,High
Alexander Holtz,8482125,SJS,0.0000,0.5720,0.2288,25.3433,,,2012.3667,Medium
Mason Lohrei,8482511,BOS,0.0000,0.5716,0.2287,25.3511,,,3046.0167,High
Michael Kesselring,8480891,BUF,0.0000,0.5714,0.2286,25.3558,,,2872.7167,Medium
Mikhail Sergachev,8479410,UTA,0.0000,0.5704,0.2282,25.3762,,,9755.5833,High
Neal Pionk,8480145,WPG,0.0000,0.5696,0.2278,25.3931,,,9356.8833,High
Simon Nemec,8483495,NJD,0.0000,0.5690,0.2276,25.4050,,,2390.0833,Medium
Kaedan Korczak,8481527,NJD,0.0000,0.5689,0.2276,25.4070,,,1917.5833,Low
Rasmus Sandin,8480873,WSH,0.0000,0.5677,0.2271,25.4303,,,6511.9167,High
Seth Jones,8477495,FLA,0.0000,0.5664,0.2266,25.4575,,,9842.2833,High
Olli Maatta,8476874,PIT,0.0000,0.5644,0.2258,25.4969,,,6643.1667,High
Jackson LaCombe,8481605,WSH,0.0000,0.5643,0.2257,25.4996,,,4202.4167,High
Morgan Rielly,8476853,TOR,0.0000,0.5642,0.2257,25.5024,,,10097.8667,High
Vincent Desharnais,8479576,BOS,0.0000,0.5603,0.2241,25.5814,,,3588.5500,High
Peyton Krebs,8481522,BUF,0.0000,0.5599,0.2240,25.5892,,,4724.6500,High
Ryker Evans,8482858,SEA,0.0000,0.5560,0.2224,25.6678,,,2795.7167,Medium
John Marino,8478507,VAN,0.0000,0.5558,0.2223,25.6712,,,7918.6167,High
Nick Perbix,8480246,NSH,0.0000,0.5541,0.2217,25.7054,,,4565.5833,High
Noah Hanifin,8478396,NJD,0.0000,0.5517,0.2207,25.7547,,,9875.4667,High
Josh Manson,8476312,COL,0.0000,0.5501,0.2200,25.7868,,,5984.4500,High
Olen Zellweger,8482803,ANA,0.0000,0.5471,0.2188,25.8477,,,2370.0333,Medium
Mattias Ekholm,8475218,SEA,0.0000,0.5451,0.2180,25.8890,,,9933.1667,High
Wyatt Kaiser,8482176,CHI,0.0000,0.5450,0.2180,25.8904,,,2681.3000,Medium
Moritz Seider,8481542,CBJ,0.0000,0.5414,0.2165,25.9644,,,8922.2000,High
Oliver Ekman-Larsson,8475171,CAR,0.0000,0.5405,0.2162,25.9812,,,8475.3500,High
Gustav Forsling,8478055,FLA,0.0000,0.5388,0.2155,26.0169,,,10947.5000,High
Brendan Smith,8474090,DET,0.0000,0.5377,0.2151,26.0388,,,4110.7833,High
Tye Kartye,8481789,SEA,0.0000,0.5373,0.2149,26.0460,,,2167.7000,Medium
Matt Grzelcyk,8476891,LAK,0.0000,0.5367,0.2147,26.0590,,,7222.8500,High
Hampus Lindholm,8476854,BOS,0.0000,0.5354,0.2142,26.0854,,,7360.4333,High
Simon Edvinsson,8482762,CBJ,0.0000,0.5326,0.2130,26.1420,,,3096.1667,High
Vinnie Hinostroza,8476994,MIN,0.0000,0.5324,0.2130,26.1448,,,2579.4833,Medium
Nikita Zadorov,8477507,NJD,0.0000,0.5320,0.2128,26.1529,,,8247.6500,High
Johnathan Kovacevic,8480192,WSH,0.0000,0.5314,0.2126,26.1652,,,4439.4833,High
Ben Hutton,8477018,CHI,0.0000,0.5314,0.2126,26.1656,,,3354.7833,High
Patrik Laine,8479339,MTL,0.0000,0.5310,0.2124,26.1749,,,3954.1667,High
Adam Boqvist,8480871,NYI,0.0000,0.5308,0.2123,26.1791,,,3694.5500,High
Colin Miller,8476525,BUF,0.0000,0.5298,0.2119,26.1982,,,4857.5833,High
Shakir Mukhamadullin,8482166,SJS,0.0000,0.5279,0.2111,26.2378,,,1271.4500,Low
Mike Reilly,8476422,CAR,0.0000,0.5256,0.2102,26.2830,,,4677.5500,High
Ben Meyers,8483570,SEA,0.0000,0.5255,0.2102,26.2846,,,1143.6333,Low
Pierre-Olivier Joseph,8480058,VAN,0.0000,0.5242,0.2097,26.3119,,,3217.5500,High
Josh Mahura,8479372,DET,0.0000,0.5234,0.2093,26.3290,,,3650.7333,High
Owen Power,8482671,WPG,0.0000,0.5207,0.2083,26.3835,,,6558.6500,High
Pontus Holmberg,8480995,TBL,0.0000,0.5171,0.2068,26.4554,,,2669.4000,Medium
Juuso Välimäki,8479976,UTA,0.0000,0.5170,0.2068,26.4573,,,4331.5000,High
Alex Pietrangelo,8474565,VGK,0.0000,0.5141,0.2057,26.5157,,,9216.4333,High
Marco Kasper,8483464,DET,0.0000,0.5141,0.2056,26.5160,,,1817.0167,Low
Jacob Bernard-Docker,8480879,CBJ,0.0000,0.5129,0.2052,26.5406,,,2715.0833,Medium
Jake Walman,8478013,EDM,0.0000,0.5113,0.2045,26.5722,,,6089.8333,High
Jonah Gadjovich,8479981,BOS,0.0000,0.5111,0.2044,26.5772,,,1456.1333,Low
Zach Whitecloud,8480727,VGK,0.0000,0.5107,0.2043,26.5843,,,7350.9667,High
Ryan Suter,8470600,STL,0.0000,0.5098,0.2039,26.6030,,,9174.9167,High
Brayden McNabb,8475188,VGK,0.0000,0.5086,0.2035,26.6270,,,8855.6833,High
Philip Broberg,8481598,STL,0.0000,0.5079,0.2032,26.6417,,,3936.6833,High
Jonathan Toews,8473604,WPG,0.0000,0.5073,0.2029,26.6542,,,2892.6000,Medium
Albert Johansson,8481607,DET,0.0000,0.5063,0.2025,26.6735,,,1747.8000,Low
Kris Letang,8471724,PIT,0.0000,0.5062,0.2025,26.6764,,,10087.5833,High
Parker Kelly,8480448,COL,0.0000,0.5050,0.2020,26.7002,,,3642.6667,High
Artem Zub,8482245,OTT,0.0000,0.5026,0.2011,26.7483,,,7379.9167,High
Damon Severson,8476923,CBJ,0.0000,0.5000,0.2000,26.8020,,,8643.4000,High
Egor Chinakhov,8482475,DET,0.0000,0.4998,0.1999,26.8055,,,3064.3000,High
Cam Fowler,8475764,OTT,0.0000,0.4998,0.1999,26.8059,,,9669.5167,High
Ian Cole,8474013,VAN,0.0000,0.4998,0.1999,26.8069,,,8229.9667,High
Niko Mikkola,8478859,NSH,0.0000,0.4977,0.1991,26.8483,,,7915.5833,High
Conor Timmins,8479982,BUF,0.0000,0.4940,0.1976,26.9240,,,2948.3000,Medium
Zach Werenski,8478460,CBJ,0.0000,0.4906,0.1963,26.9916,,,7906.9167,High
Jared Spurgeon,8474716,MIN,0.0000,0.4896,0.1958,27.0123,,,7469.9333,High
Nikolas Matinpalo,8484321,OTT,0.0000,0.4888,0.1955,27.0293,,,1176.5000,Low
Mike Matheson,8476875,TOR,0.0000,0.4874,0.1950,27.0562,,,9045.6167,High
Rasmus Andersson,8478397,CGY,0.0000,0.4838,0.1935,27.1290,,,10186.8667,High
Ryan Lindgren,8479324,EDM,0.0000,0.4829,0.1932,27.1480,,,8528.8167,High
Jake Bean,8479402,MIN,0.0000,0.4818,0.1927,27.1701,,,4613.1667,High
Parker Wotherspoon,8478450,PIT,0.0000,0.4809,0.1924,27.1891,,,2990.1667,Medium
Nick Seeler,8476372,PIT,0.0000,0.4789,0.1915,27.2299,,,5034.9000,High
Noah Juulsen,8478454,PHI,0.0000,0.4777,0.1911,27.2539,,,2168.5000,Medium
Will Borgen,8478840,NYR,0.0000,0.4775,0.1910,27.2581,,,5998.2167,High
Nicolas Hague,8479980,NSH,0.0000,0.4770,0.1908,27.2678,,,7340.5333,High
Denton Mateychuk,8483485,CBJ,0.0000,0.4760,0.1904,27.2873,,,1651.3167,Low
