season,team,pillars,p_nf,p_sv,p_ga,nf_rate,save_pct,ga_pg,points_pct,gp,playoff_depth
20222023,BOS,3,True,True,True,0.15481865284974095,0.927066450567261,2.1951219512195124,0.8232,82,R1_exit
20202021,CAR,3,True,True,True,0.17017268445839875,0.9119850187265918,2.517857142857143,0.7143,56,R2_exit
20212022,CAR,3,True,True,True,0.1700413223140496,0.9128182995252482,2.4634146341463414,0.7073,82,R2_exit
20202021,TOR,3,True,True,True,0.16533162447933356,0.9051889814221653,2.642857142857143,0.6875,56,R1_exit
20222023,NJD,3,True,True,True,0.15926791277258567,0.9021879021879022,2.7804878048780486,0.6829,82,R2_exit
20222023,TOR,3,True,True,True,0.1820049301561216,0.9067761806981519,2.768292682926829,0.6768,82,R2_exit
20222023,VGK,3,True,True,True,0.1581551860649248,0.9082747853239657,2.8658536585365852,0.6768,82,Cup_winner
20212022,NYR,3,True,True,True,0.16054330883990203,0.9160484185864897,2.6219512195121952,0.6707,82,CF_exit
20212022,TBL,3,True,True,True,0.1672782214547809,0.903448275862069,2.902439024390244,0.6707,82,Final_loss
20232024,FLA,3,True,True,True,0.15675887777123798,0.9110723626852659,2.4878048780487805,0.6707,82,Cup_winner
20232024,BOS,3,True,True,True,0.1619718309859155,0.9098814229249012,2.7804878048780486,0.6646,82,R2_exit
20232024,VAN,3,True,True,True,0.16582171525137304,0.9051063829787234,2.7195121951219514,0.6646,82,R2_exit
20222023,DAL,3,True,True,True,0.16583437369954224,0.9102304892842701,2.707317073170732,0.6585,82,CF_exit
20222023,NYR,3,True,True,True,0.16587872559095582,0.9078189300411522,2.731707317073171,0.6524,82,R1_exit
20242025,DAL,3,True,True,True,0.15334317654503268,0.9047221061429168,2.7804878048780486,0.6463,82,CF_exit
20202021,NYI,3,True,True,True,0.1572139303482587,0.9186840471756673,2.3392857142857144,0.6339,56,CF_exit
20212022,PIT,3,True,True,True,0.15225754201255315,0.9095438865465696,2.8780487804878048,0.628,82,R1_exit
