season,team_name,pp_pct,pk_pct,st_score
20232024,Pittsburgh Penguins,0.15267,0.80658,0.47962499999999997
20232024,Minnesota Wild,0.2271,0.74524,0.48617
20232024,Carolina Hurricanes,0.26907,0.86434,0.566705
20232024,Washington Capitals,0.20614,0.7897,0.49792
20232024,St. Louis Blues,0.18,0.79069,0.485345
20232024,Florida Panthers,0.23507,0.82474,0.5299050000000001
20232024,Boston Bruins,0.22222,0.82462,0.52342
20232024,San Jose Sharks,0.20192,0.75396,0.47794
20232024,Buffalo Sabres,0.16591,0.79835,0.48213
20232024,Philadelphia Flyers,0.12204,0.83402,0.47803
20232024,New Jersey Devils,0.22448,0.80658,0.51553
20232024,Dallas Stars,0.24166,0.82008,0.5308700000000001
20232024,Columbus Blue Jackets,0.15094,0.76271,0.456825
20232024,Montréal Canadiens,0.1746,0.76449,0.469545
20232024,Seattle Kraken,0.20661,0.78828,0.49744499999999997
20232024,New York Rangers,0.26422,0.84482,0.55452
20232024,Colorado Avalanche,0.2446,0.79924,0.5219199999999999
20232024,Tampa Bay Lightning,0.28629,0.83333,0.55981
20232024,Ottawa Senators,0.18021,0.75102,0.465615
20242025,Chicago Blackhawks,0.24867,0.79295,0.52081
20242025,Anaheim Ducks,0.11764,0.74193,0.429785
20242025,Los Angeles Kings,0.17874,0.81434,0.49654
20242025,Toronto Maple Leafs,0.2477,0.77872,0.5132099999999999
20242025,Winnipeg Jets,0.28899,0.79397,0.54148
20242025,Detroit Red Wings,0.27004,0.70108,0.48556
20242025,Vegas Golden Knights,0.28342,0.75739,0.520405
20242025,New York Islanders,0.1256,0.72222,0.42391
20242025,Calgary Flames,0.2103,0.76106,0.48568
20242025,Nashville Predators,0.21929,0.81481,0.51705
20242025,Edmonton Oilers,0.2372,0.78155,0.509375
20242025,Vancouver Canucks,0.22522,0.82589,0.525555
20242025,Utah Hockey Club,0.24152,0.79282,0.51717
20242025,St. Louis Blues,0.22051,0.7421,0.481305
20242025,San Jose Sharks,0.18584,0.74218,0.46401
20242025,Dallas Stars,0.22,0.82017,0.520085
20242025,Columbus Blue Jackets,0.19459,0.76958,0.48208500000000004
20242025,Montréal Canadiens,0.20085,0.80933,0.50509
20242025,New York Rangers,0.17619,0.80334,0.489765
20242025,Colorado Avalanche,0.24786,0.79807,0.522965
20242025,Minnesota Wild,0.20873,0.72413,0.46643
20242025,Pittsburgh Penguins,0.25791,0.77777,0.51784
20242025,Florida Panthers,0.23529,0.80737,0.5213300000000001
20242025,Boston Bruins,0.15217,0.76271,0.45744
20242025,New Jersey Devils,0.2824,0.82666,0.55453
20242025,Seattle Kraken,0.18942,0.77202,0.48072000000000004
20242025,Ottawa Senators,0.23791,0.77729,0.5076
20242025,Carolina Hurricanes,0.18699,0.83606,0.511525
20242025,Tampa Bay Lightning,0.25862,0.81553,0.537075
20242025,Washington Capitals,0.23529,0.82008,0.527685
20242025,Buffalo Sabres,0.18777,0.76348,0.475625
20242025,Philadelphia Flyers,0.14953,0.77612,0.46282500000000004
20252026,Chicago Blackhawks,0.16949,0.83613,0.50281
20252026,Calgary Flames,0.16157,0.80408,0.482825
20252026,Nashville Predators,0.23109,0.81707,0.52408
20252026,Toronto Maple Leafs,0.21319,0.81222,0.512705
20252026,Edmonton Oilers,0.3063,0.77828,0.5422899999999999
20252026,Detroit Red Wings,0.2258,0.77142,0.49861
20252026,Anaheim Ducks,0.1856,0.76356,0.47458
20252026,Vegas Golden Knights,0.24576,0.81372,0.52974
20252026,New York Islanders,0.16528,0.80841,0.48684499999999997
20252026,Vancouver Canucks,0.21794,0.71491,0.46642500000000003
20252026,Los Angeles Kings,0.16964,0.74583,0.457735
20252026,Utah Mammoth,0.2,0.78137,0.49068500000000004
20252026,Winnipeg Jets,0.18502,0.77631,0.48066499999999995
20252026,Pittsburgh Penguins,0.24137,0.81434,0.527855
20252026,Washington Capitals,0.17842,0.80079,0.489605
20252026,Boston Bruins,0.23404,0.76978,0.50191
20252026,New Jersey Devils,0.21951,0.79327,0.50639
20252026,Columbus Blue Jackets,0.18905,0.76018,0.474615
20252026,Seattle Kraken,0.19724,0.71698,0.45710999999999996
20252026,New York Rangers,0.24651,0.79919,0.52285
20252026,Colorado Avalanche,0.17374,0.84482,0.50928
20252026,Carolina Hurricanes,0.24896,0.80519,0.527075
20252026,Philadelphia Flyers,0.15744,0.77551,0.46647500000000003
20252026,Minnesota Wild,0.25193,0.79812,0.5250250000000001
20252026,Florida Panthers,0.19548,0.80952,0.5025
20252026,Buffalo Sabres,0.19512,0.81896,0.50704
20252026,Dallas Stars,0.28629,0.80321,0.54475
20252026,Montréal Canadiens,0.2314,0.78225,0.506825
20252026,Ottawa Senators,0.23954,0.75744,0.49849
20252026,Tampa Bay Lightning,0.20731,0.82558,0.516445
20252026,San Jose Sharks,0.21176,0.76422,0.48799000000000003
20252026,St. Louis Blues,0.17592,0.76681,0.471365
