player_name,player_id,team_2526,offensive_composite,defensive_score,twoway_composite,rush_against_per60,ci_confirmed,trend,total_toi_mins,sample_confidence,rush_against_per60_by_season,def_trajectory,nf_traj,combined_trajectory
Ian Cole,8474013,VAN,0.0000,0.4998,0.1999,26.8069,,,8229.9667,High,"{""20202021"": 32.6245, ""20212022"": 20.9616, ""20222023"": 28.9229, ""20232024"": 26.8345, ""20242025"": 26.4255, ""20252026"": 27.013}",stable,insufficient_data,stable
Niko Mikkola,8478859,NSH,0.0000,0.4977,0.1991,26.8483,,,7915.5833,High,"{""20202021"": 28.5874, ""20212022"": 29.9774, ""20222023"": 29.1554, ""20232024"": 25.8439, ""20242025"": 24.0346, ""20252026"": 26.5266}",stable,insufficient_data,stable
Conor Timmins,8479982,BUF,0.0000,0.4940,0.1976,26.9240,,,2948.3000,Medium,"{""20202021"": 25.1422, ""20212022"": 30.9908, ""20222023"": 23.5236, ""20232024"": 21.2046, ""20242025"": 27.6635, ""20252026"": 35.3655}",declining,neutral,defensive_decline
Zach Werenski,8478460,CBJ,0.0000,0.4906,0.1963,26.9916,,,7906.9167,High,"{""20202021"": 27.5717, ""20212022"": 29.5707, ""20222023"": 29.1443, ""20232024"": 28.1152, ""20242025"": 24.7834, ""20252026"": 24.5104}",stable,declining,offensive_decline
Jared Spurgeon,8474716,MIN,0.0000,0.4896,0.1958,27.0123,,,7469.9333,High,"{""20202021"": 29.6641, ""20212022"": 24.759, ""20222023"": 28.8305, ""20232024"": 27.9718, ""20242025"": 25.3812, ""20252026"": 25.2854}",stable,insufficient_data,stable
Nikolas Matinpalo,8484321,OTT,0.0000,0.4888,0.1955,27.0293,,,1176.5000,Low,"{""20232024"": 14.9911, ""20242025"": 27.0446, ""20252026"": 27.5953}",declining,neutral,defensive_decline
Mike Matheson,8476875,TOR,0.0000,0.4874,0.1950,27.0562,,,9045.6167,High,"{""20202021"": 26.4194, ""20212022"": 28.1513, ""20222023"": 22.8505, ""20232024"": 26.6377, ""20242025"": 27.3229, ""20252026"": 30.5884}",stable,neutral,stable
Rasmus Andersson,8478397,CGY,0.0000,0.4838,0.1935,27.1290,,,10186.8667,High,"{""20202021"": 29.2421, ""20212022"": 25.622, ""20222023"": 26.9894, ""20232024"": 26.8255, ""20242025"": 29.4768, ""20252026"": 24.739}",stable,insufficient_data,stable
Ryan Lindgren,8479324,EDM,0.0000,0.4829,0.1932,27.1480,,,8528.8167,High,"{""20202021"": 29.8134, ""20212022"": 28.6376, ""20222023"": 22.965, ""20232024"": 26.9968, ""20242025"": 27.0621, ""20252026"": 27.4799}",stable,insufficient_data,stable
Jake Bean,8479402,MIN,0.0000,0.4818,0.1927,27.1701,,,4613.1667,High,"{""20202021"": 19.1929, ""20212022"": 30.7042, ""20222023"": 34.3871, ""20232024"": 29.1112, ""20242025"": 25.4257, ""20252026"": 19.9952}",improving,neutral,stable
Parker Wotherspoon,8478450,PIT,0.0000,0.4809,0.1924,27.1891,,,2990.1667,Medium,"{""20222023"": 26.6389, ""20232024"": 26.9864, ""20242025"": 26.6247, ""20252026"": 27.9779}",stable,neutral,stable
Nick Seeler,8476372,PIT,0.0000,0.4789,0.1915,27.2299,,,5034.9000,High,"{""20212022"": 30.3452, ""20222023"": 27.7494, ""20232024"": 27.0226, ""20242025"": 26.5632, ""20252026"": 25.8199}",stable,insufficient_data,stable
