season,team,n_elite_nf,elite_player_names,elite_reb_shots,elite_reb_goals,points_pct,points,gp,playoff_depth
20202021,CAR,0,,0,0,0.7143,80,56,R2_exit
20212022,CAR,0,,0,0,0.7073,116,82,R2_exit
20202021,FLA,0,,0,0,0.7054,79,56,R1_exit
20212022,TOR,0,,0,0,0.7012,115,82,R1_exit
20232024,NYR,0,,0,0,0.6951,114,82,CF_exit
20222023,CAR,0,,0,0,0.689,113,82,CF_exit
20202021,PIT,0,,0,0,0.6875,77,56,R1_exit
20202021,TOR,0,,0,0,0.6875,77,56,R1_exit
20222023,NJD,0,,0,0,0.6829,112,82,R2_exit
20212022,CGY,0,,0,0,0.6768,111,82,R2_exit
20222023,TOR,0,,0,0,0.6768,111,82,R2_exit
20222023,VGK,0,,0,0,0.6768,111,82,Cup_winner
20232024,CAR,0,,0,0,0.6768,111,82,R2_exit
20212022,NYR,0,,0,0,0.6707,110,82,CF_exit
20232024,FLA,0,,0,0,0.6707,110,82,Cup_winner
20242025,VGK,0,,0,0,0.6707,110,82,R2_exit
20222023,EDM,0,,0,0,0.6646,109,82,R2_exit
20222023,COL,0,,0,0,0.6605,107,81,R1_exit
20222023,NYR,0,,0,0,0.6524,107,82,R1_exit
20232024,COL,0,,0,0,0.6524,107,82,R2_exit
20202021,EDM,0,,0,0,0.6429,72,56,R1_exit
20212022,EDM,0,,0,0,0.6341,104,82,CF_exit
20232024,EDM,0,,0,0,0.6341,104,82,Final_loss
20202021,NYI,0,,0,0,0.6339,71,56,CF_exit
20242025,COL,0,,0,0,0.622,102,82,R1_exit
20242025,EDM,0,,0,0,0.6159,101,82,Final_loss
20242025,CAR,0,,0,0,0.6037,99,82,CF_exit
20232024,VGK,0,,0,0,0.5976,98,82,R1_exit
20242025,FLA,0,,0,0,0.5976,98,82,Cup_winner
20212022,NSH,0,,0,0,0.5915,97,82,R1_exit
20242025,OTT,0,,0,0,0.5915,97,82,R1_exit
