metric,OZ_pct,DZ_pct,empirical_factor_pp,raw_R2,raw_r,ZA_trad_R2,ZA_trad_r,ZA_emp_R2,ZA_emp_r,trad_error_pp,trad_error_pct
NFI% (CNFI+MNFI% Fenwick),54.39582071271112,43.685963671959975,10.709857040751142,0.5506505203008957,0.742058299799211,0.5519075503089014,0.7429048056843497,0.5530677604562596,0.7436852563122787,-7.2098570407511415,-67.3198252163175
HD Fenwick FF%,54.26039017006874,43.73836913942749,10.522021030641248,0.48039845169996476,0.6931078211216237,0.48127402230613564,0.6937391601359517,0.4818787325063843,0.6941748572992141,-7.022021030641248,-66.73642839329415
Regular Fenwick FF%,55.08919009333246,43.179039068272175,11.910151025060289,0.38690590756328685,0.6220176103321247,0.3904941291605346,0.624895294557844,0.3988810359186835,0.6315702937272173,-8.410151025060289,-70.61330294942853
Regular Corsi CF%,51.60202512551031,47.70999145489745,3.89203367061286,0.3962387758468198,0.6294750001761943,0.39732834020959945,0.6303398608763366,0.3973487263012374,0.6303560313832473,-0.39203367061285965,-10.072720428215822
HD Corsi CF%,50.610739941594964,48.79267602681383,1.8180639147811317,0.2237654275882986,0.47303850539707504,0.2101842960201348,0.45845860884068346,0.21681719516125947,0.4656363335922783,1.6819360852188687,92.51248383208514
