rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
81,Tommy Novak,PIT,C,82,331,186,285,0.022,-0.07265,8.0,8478438
82,Martin Necas,COL,C,78,530,323,394,0.0076,-0.07309,8.0,8480039
83,Brandon Hagel,TBL,L,71,320,266,236,0.03087,-0.07358,8.0,8479542
84,Sean Couturier,PHI,C,78,255,386,314,0.01893,-0.07168,8.0,8476461
85,Cody Glass,NJD,C,70,259,292,288,0.01966,-0.07398,8.0,8479996
86,Marc Gatcomb,NYI,C,49,124,115,186,0.0483,-0.07332,8.0,8483553
87,Drake Batherson,OTT,R,79,397,187,295,0.02052,-0.07326,8.0,8480208
88,Kyle MacLean,NYI,C,59,142,149,213,0.04191,-0.07308,8.0,8481237
89,Jacob Melanson,SEA,R,36,40,78,123,0.07706,-0.07214,8.0,8482874
90,Conor Sheary,NYR,L,62,199,231,226,0.03367,-0.07557,7.9,8477839
91,Noel Acciari,PIT,C,67,69,388,200,0.03833,-0.07692,7.9,8478569
92,Joel Kiviranta,COL,L,50,105,146,168,0.04564,-0.07458,7.9,8481641
93,Connor McDavid,EDM,C,81,464,261,361,0.00768,-0.07706,7.9,8478402
94,Lars Eller,OTT,C,68,160,268,215,0.03604,-0.07589,7.9,8474189
95,Jake Guentzel,TBL,L,81,369,296,312,0.01449,-0.07599,7.9,8477404
96,Oliver Bjorkstrand,TBL,R,80,216,185,273,0.02888,-0.07504,7.9,8477416
97,Dylan Cozens,OTT,C,82,367,275,407,0.00313,-0.07703,7.9,8481528
98,Rodrigo Abols,PHI,C,42,80,104,145,0.05397,-0.07665,7.9,8479022
99,Nico Hischier,NJD,C,82,437,472,455,-0.0005,-0.07528,7.9,8480002
100,Dawson Mercer,NJD,C,82,345,382,372,0.00785,-0.07607,7.9,8482110
101,Nikolaj Ehlers,CAR,L,82,388,266,343,0.01276,-0.07496,7.9,8477940
102,Yakov Trenin,MIN,C,82,195,321,263,0.02562,-0.07507,7.9,8478508
103,Cole Sillinger,CBJ,C,81,297,362,324,0.01281,-0.07675,7.9,8482705
104,Jack Roslovic,EDM,C,68,321,230,282,0.02384,-0.0758,7.9,8478458
105,Jesper Boqvist,FLA,C,73,223,200,279,0.01544,-0.07979,7.8,8480003
106,J.T. Miller,NYR,C,68,322,337,329,0.0097,-0.0784,7.8,8476468
107,Brandon Duhaime,WSH,R,82,103,365,282,0.01657,-0.07889,7.8,8479520
108,Hendrix Lapierre,WSH,C,74,128,123,164,0.04542,-0.07869,7.8,8482148
109,Adam Henrique,EDM,C,64,151,265,203,0.03654,-0.07824,7.8,8474641
110,Alex Tuch,BUF,R,79,379,300,359,0.00246,-0.08009,7.8,8477949
111,David Perron,DET,L,65,195,157,227,0.02865,-0.07917,7.8,8474102
112,Garnet Hathaway,PHI,R,66,125,186,222,0.02976,-0.07817,7.8,8477903
113,Alexey Toropchenko,STL,R,64,92,236,223,0.03165,-0.07826,7.8,8480281
114,Steven Stamkos,NSH,C,81,354,355,360,0.00393,-0.08005,7.8,8474564
115,Alex Killorn,ANA,L,81,283,302,324,0.01042,-0.07783,7.8,8473986
116,Chris Kreider,ANA,L,74,357,230,337,0.00858,-0.07794,7.8,8475184
117,Ryan Winterton,SEA,C,67,136,226,217,0.02831,-0.07982,7.8,8482751
118,Ryan Poehling,ANA,C,74,217,328,297,0.01305,-0.07851,7.8,8480068
119,Michael Carcone,UTA,L,78,231,259,315,0.016,-0.0785,7.8,8479619
120,Warren Foegele,OTT,L,68,219,261,256,0.01766,-0.08067,7.7,8477998
121,Tage Thompson,BUF,R,81,413,311,377,-0.00037,-0.08116,7.7,8479420
122,Jean-Gabriel Pageau,NYI,C,74,251,310,280,0.01092,-0.08315,7.7,8476419
123,Anders Lee,NYI,L,82,349,296,319,0.0068,-0.08245,7.7,8475314
124,Connor Brown,NJD,R,75,263,231,298,0.01121,-0.08318,7.7,8477015
125,Bryan Rust,PIT,R,72,413,290,403,-0.00607,-0.08334,7.7,8475810
126,Anthony Mantha,PIT,R,81,262,151,275,0.0128,-0.08631,7.6,8477511
127,Valeri Nichushkin,COL,R,71,275,288,304,0.00995,-0.08433,7.6,8477501
128,Tom Wilson,WSH,R,72,258,341,277,0.0108,-0.08427,7.6,8476880
129,Matt Coronato,CGY,R,79,375,301,324,0.00256,-0.08445,7.6,8482679
130,Patrick Kane,DET,R,67,307,263,275,0.0124,-0.08502,7.6,8474141
131,Claude Giroux,OTT,R,82,298,325,326,-0.00169,-0.08636,7.6,8473512
132,Ridly Greig,OTT,C,77,273,349,381,-0.00396,-0.08618,7.6,8482092
133,Michael Amadio,OTT,C,81,195,416,411,-0.00572,-0.08356,7.6,8478020
134,Nick Cousins,OTT,C,81,172,183,297,0.00717,-0.08645,7.6,8476393
135,Ondrej Palat,NYI,L,80,254,263,292,0.00999,-0.08541,7.6,8476292
136,Jake Neighbours,STL,L,68,269,228,251,0.01674,-0.08466,7.6,8482089
137,Pavel Buchnevich,STL,L,80,315,283,288,0.00844,-0.08645,7.6,8477402
138,Justin Hryckowian,DAL,C,81,175,232,280,0.00925,-0.0863,7.6,8484829
139,Beckett Sennecke,ANA,R,81,372,294,381,-0.00157,-0.08444,7.6,8484762
140,Tyson Kozak,BUF,C,46,72,194,198,0.02983,-0.0863,7.6,8482896
141,Carter Verhaeghe,FLA,C,77,348,280,331,0.00246,-0.08759,7.5,8477409
142,Sam Reinhart,FLA,C,64,272,267,289,0.00586,-0.08707,7.5,8477933
143,Trevor Moore,LAK,C,68,250,298,326,-0.00142,-0.08855,7.5,8479675
144,Nic Dowd,VGK,C,75,133,349,307,0.00518,-0.08878,7.5,8475343
145,Morgan Frost,CGY,C,81,433,217,315,-0.00019,-0.08836,7.5,8480028
146,Michael Rasmussen,DET,C,64,182,218,217,0.01753,-0.08969,7.5,8479992
147,Gage Goncalves,TBL,C,74,251,174,261,0.01328,-0.08803,7.5,8482201
148,Anthony Cirelli,TBL,C,71,290,254,248,0.01132,-0.08825,7.5,8478519
149,Jordan Kyrou,STL,C,71,306,169,273,0.00832,-0.08902,7.5,8479385
150,Marcus Foligno,MIN,L,56,130,208,189,0.03326,-0.08674,7.5,8475220
151,Mason Marchment,CBJ,L,68,332,208,295,0.00591,-0.08938,7.5,8478975
152,Jordan Greenway,BUF,L,40,72,158,158,0.03897,-0.08864,7.5,8478413
153,Danton Heinen,CBJ,L,46,114,169,140,0.04983,-0.08819,7.5,8478046
154,Blake Lizotte,PIT,C,55,54,305,177,0.03224,-0.09004,7.4,8481481
155,Zachary Bolduc,MTL,C,78,229,258,290,0.00499,-0.09155,7.4,8482737
156,Ryan Nugent-Hopkins,EDM,C,71,297,228,262,0.00508,-0.0926,7.4,8476454
157,Owen Tippett,PHI,R,81,291,338,349,-0.00928,-0.09227,7.4,8480015
158,Timo Meier,NJD,R,77,337,410,396,-0.01145,-0.09243,7.4,8478414
159,Nathan Bastian,DAL,R,36,59,81,84,0.09197,-0.09136,7.4,8479414
160,Mikael Granlund,ANA,C,58,230,267,223,0.01428,-0.09253,7.4,8475798
161,Leo Carlsson,ANA,C,69,328,188,348,-0.00642,-0.09161,7.4,8484153
162,Shane Wright,SEA,C,73,314,155,214,0.01828,-0.09029,7.4,8483524
163,Barrett Hayton,UTA,C,67,251,297,266,0.00711,-0.09015,7.4,8480849
164,Linus Karlsson,VAN,C,78,198,223,226,0.01302,-0.09214,7.4,8481024
165,Samuel Helenius,LAK,C,52,51,93,125,0.05002,-0.09091,7.4,8482726
166,Justin Brazeau,PIT,R,64,199,137,227,0.01254,-0.09401,7.3,8479638
167,Aliaksei Protas,WSH,C,76,335,357,312,-0.00441,-0.09582,7.3,8481656
168,Josh Doan,BUF,R,82,339,328,318,-0.00669,-0.09447,7.3,8482659
169,J.T. Compher,DET,L,82,282,361,316,-0.00659,-0.09387,7.3,8477456
170,Sam Steel,DAL,C,73,285,239,294,0.00349,-0.09281,7.3,8479351
171,Lawson Crouse,UTA,L,80,343,315,347,-0.00878,-0.09536,7.3,8478474
172,James van Riemsdyk,DET,L,72,181,223,200,0.01679,-0.09485,7.3,8474037
173,Brad Marchand,FLA,L,52,188,187,231,0.01007,-0.09604,7.2,8473419
174,Vincent Trocheck,NYR,C,67,298,291,281,-0.0017,-0.09821,7.2,8476389
175,Victor Olofsson,CGY,L,78,277,244,254,0.00573,-0.09615,7.2,8478109
176,Brendan Gallagher,MTL,R,77,204,226,260,0.00499,-0.0971,7.2,8475848
177,Anthony Beauvillier,WSH,L,82,322,274,294,-0.00226,-0.09844,7.2,8478463
178,Alex DeBrincat,DET,R,82,352,346,343,-0.01155,-0.09728,7.2,8479337
179,Vladimir Tarasenko,MIN,R,75,287,336,316,-0.00447,-0.09686,7.2,8475765
180,Parker Kelly,COL,L,81,195,257,270,-0.00464,-0.10156,7.1,8480448
181,Jeff Malott,LAK,L,58,98,120,157,0.02933,-0.09932,7.1,8482408
182,Cole Caufield,MTL,R,81,358,266,372,-0.01814,-0.09993,7.1,8481540
