rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
144,Jake Bean,CGY,D,166,398,316,347,0.23688,0.19334,6.9,8479402
145,J.J. Moser,TBL,D,295,697,811,816,0.22065,0.19346,6.9,8482655
146,Henri Jokiharju,BOS,D,235,672,663,661,0.22335,0.19329,6.9,8480035
147,Gustav Forsling,FLA,D,321,948,841,915,0.21893,0.1923,6.9,8478055
148,Chris Tanev,TOR,D,226,456,613,667,0.22482,0.19354,6.9,8475690
149,Neal Pionk,WPG,D,284,691,721,756,0.22191,0.1931,6.9,8480145
150,Juuso Välimäki,UTA,D,189,424,449,489,0.2304,0.19384,6.9,8479976
151,Nick Perbix,NSH,D,298,663,611,674,0.2238,0.19253,6.9,8480246
152,Andreas Englund,NSH,D,167,242,248,321,0.24236,0.19322,6.9,8477971
153,Simon Edvinsson,DET,D,175,427,500,462,0.22683,0.19228,6.9,8482762
154,Scott Harrington,ANA,D,45,103,122,109,0.26033,0.19063,6.8,8476449
155,Mikhail Sergachev,UTA,D,267,858,705,805,0.21941,0.19043,6.8,8479410
156,Sean Durzi,UTA,D,238,658,543,604,0.22336,0.19034,6.8,8480434
157,Ben Hutton,VGK,D,138,311,180,275,0.24829,0.19088,6.8,8477018
158,Kaiden Guhle,MTL,D,208,410,575,601,0.22246,0.19037,6.8,8482087
159,Ilya Lyubushkin,DAL,D,275,445,615,625,0.22094,0.18994,6.8,8480950
160,Scott Mayfield,NYI,D,269,489,549,602,0.22316,0.19032,6.8,8476429
161,Alexander Romanov,NYI,D,236,545,614,591,0.22208,0.19098,6.8,8481014
162,Mathew Dumba,PIT,D,229,512,568,587,0.22233,0.19006,6.8,8476856
163,Chad Ruhwedel,NYR,D,104,126,166,150,0.24961,0.18994,6.8,8477244
164,Matt Irwin,WSH,D,61,65,98,77,0.26747,0.18982,6.8,8475625
165,Kaedan Korczak,VGK,D,154,306,286,368,0.2372,0.19159,6.8,8481527
166,Yan Kuznetsov,CGY,D,58,165,143,190,0.25425,0.18996,6.8,8482165
167,Derek Forbort,VAN,D,145,203,324,321,0.23167,0.18904,6.7,8475762
168,Andrew Peeke,BOS,D,271,566,722,613,0.21696,0.18843,6.7,8479369
169,TJ Brodie,CHI,D,190,463,435,462,0.22576,0.18897,6.7,8474673
170,Dmitry Kulikov,FLA,D,232,623,534,609,0.22264,0.18941,6.7,8475179
171,Will Borgen,NYR,D,323,550,839,785,0.21513,0.18866,6.7,8478840
172,Oliver Ekman-Larsson,TOR,D,289,775,651,753,0.21743,0.18745,6.7,8475171
173,Jan Rutta,SJS,D,180,331,440,416,0.2251,0.18855,6.7,8480172
174,Mattias Samuelsson,BUF,D,236,647,724,732,0.21618,0.18774,6.7,8480807
175,Nikita Zadorov,BOS,D,319,776,753,831,0.21753,0.18954,6.7,8477507
176,Wyatt Kaiser,CHI,D,175,424,414,459,0.22606,0.1884,6.7,8482176
