rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Quinn Hughes,MIN,D,74,564,474,502,0.25067,0.21475,10.0,8480800
2,Sam Malinski,COL,D,81,378,361,382,0.25427,0.2132,9.9,8484258
3,Simon Nemec,NJD,D,68,335,298,292,0.2601,0.21312,9.9,8483495
4,Zach Werenski,CBJ,D,75,598,475,492,0.24714,0.21108,9.7,8478460
5,Darren Raddysh,TBL,D,73,395,345,349,0.24736,0.20501,9.3,8478178
6,Jakob Chychrun,WSH,D,80,492,351,412,0.24307,0.20415,9.2,8479345
7,Denton Mateychuk,CBJ,D,75,348,333,375,0.24483,0.20404,9.2,8483485
8,Darnell Nurse,EDM,D,81,439,395,476,0.23827,0.20219,9.1,8477498
9,Tyler Myers,DAL,D,73,257,370,350,0.24463,0.20253,9.1,8474574
10,Jonas Brodin,MIN,D,62,314,341,344,0.24474,0.20229,9.1,8476463
11,Niko Mikkola,FLA,D,68,336,336,399,0.24086,0.20151,9.0,8478859
12,K'Andre Miller,CAR,D,72,476,358,402,0.23977,0.20062,9.0,8480817
13,Sean Walker,CAR,D,81,521,411,483,0.23736,0.20158,9.0,8480336
14,Shea Theodore,VGK,D,71,429,394,377,0.2407,0.20029,8.9,8477447
15,Luke Hughes,NJD,D,68,474,369,392,0.23923,0.19965,8.9,8482684
16,Brock Faber,MIN,D,80,510,554,562,0.23278,0.19973,8.9,8482122
17,Olen Zellweger,ANA,D,76,334,267,326,0.24104,0.1978,8.8,8482803
18,Kris Letang,PIT,D,74,433,326,365,0.23715,0.1964,8.7,8471724
19,Jonas Siegenthaler,NJD,D,82,365,435,485,0.23191,0.19654,8.7,8478399
20,Jared Spurgeon,MIN,D,79,360,404,385,0.23642,0.19671,8.7,8474716
21,Ryan McDonagh,TBL,D,48,191,232,232,0.24641,0.19539,8.6,8474151
22,Philip Broberg,STL,D,80,389,470,414,0.23419,0.19596,8.6,8481598
23,Nils Lundkvist,DAL,D,52,205,259,283,0.24143,0.19524,8.6,8480878
24,J.J. Moser,TBL,D,79,446,388,413,0.23376,0.19551,8.6,8482655
25,Dougie Hamilton,NJD,D,77,421,371,460,0.23036,0.19421,8.5,8476462
26,Brenden Dillon,NJD,D,82,357,348,327,0.23705,0.19418,8.5,8475455
27,Thomas Harley,DAL,D,70,375,366,395,0.23351,0.19448,8.5,8481581
28,Parker Wotherspoon,PIT,D,80,404,407,450,0.22981,0.19332,8.4,8478450
29,Brayden McNabb,VGK,D,64,332,325,334,0.23511,0.19281,8.4,8475188
30,Uvis Balinskis,FLA,D,54,240,182,276,0.23978,0.1932,8.4,8484304
31,Jake Walman,EDM,D,52,281,215,240,0.24305,0.19311,8.4,8478013
32,Brandt Clarke,LAK,D,81,526,328,384,0.23148,0.19208,8.3,8482730
33,Sam Rinzel,CHI,D,54,261,192,248,0.23962,0.19073,8.2,8483506
34,John Carlson,ANA,D,70,383,332,333,0.23273,0.19054,8.2,8474590
35,Bowen Byram,BUF,D,82,400,466,455,0.22587,0.18984,8.2,8481524
36,Arber Xhekaj,MTL,D,65,168,129,207,0.24199,0.18869,8.1,8482964
37,Kaiden Guhle,MTL,D,39,129,205,189,0.24459,0.18879,8.1,8482087
38,Spencer Stastney,EDM,D,66,262,263,292,0.23398,0.18907,8.1,8481056
39,Nick Leddy,SJS,D,32,169,139,155,0.25044,0.18883,8.1,8475181
40,Jeff Petry,MIN,D,67,246,201,324,0.23005,0.18754,8.0,8473507
41,Braden Schneider,NYR,D,82,307,421,387,0.22645,0.18756,8.0,8482073
42,Brett Kulak,COL,D,82,341,341,398,0.2257,0.18736,8.0,8476967
43,Owen Power,BUF,D,81,416,426,414,0.22444,0.18689,8.0,8482671
44,Jordan Spence,OTT,D,73,471,226,393,0.22556,0.18701,8.0,8481606
45,Samuel Girard,PIT,D,60,272,284,281,0.23209,0.18655,7.9,8479398
46,Matthew Schaefer,NYI,D,82,418,380,440,0.22241,0.18605,7.9,8485366
47,Jacob Trouba,ANA,D,80,463,488,502,0.21942,0.18542,7.9,8476885
48,Troy Stecher,TOR,D,64,228,302,322,0.22845,0.18595,7.9,8479442
49,Drew Doughty,LAK,D,71,390,381,443,0.22104,0.18489,7.8,8474563
50,Mason Lohrei,BOS,D,73,308,275,346,0.22526,0.1844,7.8,8482511
51,Rasmus Dahlin,BUF,D,77,447,431,511,0.21891,0.18523,7.8,8480839
52,Thomas Chabot,OTT,D,57,278,225,278,0.22947,0.18393,7.8,8478469
53,Brett Pesce,NJD,D,37,222,178,200,0.23873,0.18492,7.8,8477488
54,Damon Severson,CBJ,D,71,413,437,431,0.22107,0.18445,7.8,8476923
55,Miro Heiskanen,DAL,D,77,469,378,410,0.2215,0.18399,7.8,8480036
56,Lian Bichsel,DAL,D,50,128,196,196,0.23822,0.18398,7.8,8483425
57,Tyler Kleven,OTT,D,70,286,253,413,0.22168,0.18428,7.8,8482095
58,Cale Makar,COL,D,74,558,337,410,0.22055,0.18311,7.7,8480069
59,Noah Hanifin,VGK,D,72,489,326,408,0.22085,0.1833,7.7,8478396
60,Jaccob Slavin,CAR,D,39,199,187,219,0.2342,0.18299,7.7,8476958
61,Radko Gudas,ANA,D,56,199,203,244,0.23194,0.18338,7.7,8475462
62,Lane Hutson,MTL,D,82,479,329,425,0.2185,0.18183,7.6,8483457
63,Trevor van Riemsdyk,WSH,D,68,206,282,337,0.2237,0.18246,7.6,8477845
64,Moritz Seider,DET,D,82,407,543,539,0.21392,0.18139,7.6,8481542
65,Alexander Nikishin,CAR,D,81,484,270,414,0.21944,0.18226,7.6,8482100
66,Ilya Solovyov,PIT,D,30,86,96,126,0.24983,0.1824,7.6,8482470
67,Mattias Samuelsson,BUF,D,78,411,470,501,0.21449,0.18079,7.5,8480807
68,Justin Faulk,DET,D,78,382,393,422,0.2167,0.18004,7.5,8475753
69,Ivan Provorov,CBJ,D,82,470,543,510,0.21459,0.18116,7.5,8478500
70,Nate Schmidt,UTA,D,81,405,373,442,0.21665,0.18077,7.5,8477220
71,Declan Carlile,TBL,D,42,162,123,175,0.23715,0.1802,7.5,8483398
72,Vladislav Gavrikov,NYR,D,82,547,487,548,0.21193,0.17978,7.4,8478882
73,Mikey Anderson,LAK,D,79,323,443,459,0.21377,0.17872,7.4,8479998
74,Simon Edvinsson,DET,D,72,344,448,463,0.21477,0.17979,7.4,8482762
75,Jamie Oleksiak,SEA,D,78,262,319,332,0.21971,0.17852,7.4,8476467
76,Erik Karlsson,PIT,D,75,473,387,410,0.21493,0.17791,7.3,8474578
77,Evan Bouchard,EDM,D,81,503,306,420,0.21388,0.17735,7.3,8480803
78,Donovan Sebrango,FLA,D,42,144,132,208,0.23009,0.17809,7.3,8482131
79,Colton Parayko,STL,D,76,371,497,436,0.2139,0.178,7.3,8476892
80,Jackson LaCombe,ANA,D,81,461,505,511,0.21034,0.17723,7.3,8481605
81,Erik Cernak,TBL,D,61,220,293,319,0.2183,0.17647,7.2,8478416
82,Marcus Pettersson,VAN,D,81,306,512,436,0.2115,0.17577,7.2,8477969
83,Scott Morrow,NYR,D,29,106,106,110,0.24807,0.17678,7.2,8482666
84,Jake Middleton,MIN,D,75,293,347,334,0.21571,0.17496,7.1,8478136
85,Esa Lindell,DAL,D,82,376,406,478,0.2087,0.17466,7.1,8476902
86,Ryker Evans,SEA,D,66,219,236,290,0.21891,0.17516,7.1,8482858
87,Nick DeSimone,UTA,D,39,147,135,162,0.23422,0.17562,7.1,8480084
88,Brian Dumoulin,LAK,D,81,315,378,395,0.2114,0.17401,7.0,8475208
89,Alexandre Carrier,MTL,D,73,239,340,373,0.21209,0.17365,7.0,8478851
90,Hampus Lindholm,BOS,D,67,305,328,366,0.21318,0.17431,7.0,8476854
91,Mattias Ekholm,EDM,D,81,481,305,418,0.20969,0.17339,7.0,8475218
92,Sean Durzi,UTA,D,60,357,276,312,0.21596,0.1739,7.0,8480434
93,Dmitry Orlov,SJS,D,81,406,440,442,0.20897,0.17365,7.0,8475200
94,Matthew Robertson,NYR,D,72,262,294,298,0.21712,0.17407,7.0,8481525
95,Seth Jones,FLA,D,52,239,260,309,0.21455,0.17243,6.9,8477495
96,Simon Benoit,TOR,D,73,160,397,339,0.21216,0.17199,6.9,8481122
97,Zach Whitecloud,CGY,D,78,351,365,426,0.2079,0.17206,6.9,8480727
98,Ryan Shea,PIT,D,80,325,360,376,0.20835,0.17035,6.8,8478854
99,Cody Ceci,LAK,D,82,255,391,377,0.20902,0.17102,6.8,8476879
100,Travis Sanheim,PHI,D,81,366,498,532,0.20275,0.17077,6.8,8477948
101,Scott Mayfield,NYI,D,80,290,263,350,0.21101,0.17152,6.8,8476429
102,Mario Ferraro,SJS,D,82,314,453,410,0.20754,0.17109,6.8,8479983
103,Alexander Petrovic,DAL,D,54,144,224,215,0.22136,0.17103,6.8,8475755
104,Zach Metsa,BUF,D,43,114,124,143,0.23238,0.17071,6.8,8484305
105,Joel Edmundson,LAK,D,81,479,340,384,0.2077,0.17012,6.7,8476441
106,Devon Toews,COL,D,67,495,323,403,0.20573,0.16913,6.7,8478038
107,Alec Regula,EDM,D,29,105,89,124,0.23504,0.16907,6.7,8480831
108,Jalen Chatfield,CAR,D,72,435,338,427,0.2049,0.16933,6.7,8478970
109,Sam Dickinson,SJS,D,71,277,313,326,0.21085,0.17007,6.7,8484806
110,Cale Fleury,SEA,D,22,58,107,106,0.24035,0.16901,6.7,8479985
111,Nick Blankenburg,COL,D,60,212,218,228,0.21768,0.16903,6.7,8483565
