rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
91,Brent Burns,COL,D,81,197,215,222,0.40915,0.34655,5.3,8470613
92,Hampus Lindholm,BOS,D,67,143,155,170,0.4168,0.34532,5.3,8476854
93,Alex Vlasic,CHI,D,81,161,259,239,0.4064,0.34609,5.3,8481568
94,Travis Sanheim,PHI,D,81,182,217,264,0.40446,0.34703,5.3,8477948
95,Logan Mailloux,STL,D,66,160,122,128,0.42793,0.34555,5.3,8482733
96,Justin Barron,NSH,D,51,93,106,116,0.43308,0.34649,5.3,8482111
97,Drew Helleson,ANA,D,60,165,125,146,0.42412,0.34691,5.3,8481563
98,Kaedan Korczak,VGK,D,78,158,118,184,0.40628,0.33793,5.2,8481527
99,Adam Larsson,SEA,D,81,227,256,256,0.40035,0.34223,5.2,8476457
100,Charle-Edouard D'Astous,TBL,D,70,169,159,200,0.40518,0.33955,5.2,8480426
101,Adam Wilsby,NSH,D,57,111,144,149,0.41036,0.33459,5.1,8482482
102,Thomas Harley,DAL,D,70,171,177,192,0.40055,0.33384,5.1,8481581
103,Marcus Pettersson,VAN,D,81,167,256,228,0.39382,0.33266,5.1,8477969
104,Matthew Robertson,NYR,D,72,118,133,140,0.41353,0.33533,5.1,8481525
105,Cam York,PHI,D,74,180,168,257,0.39425,0.33648,5.1,8481546
106,Connor Murphy,EDM,D,79,112,192,194,0.39711,0.3309,5.0,8476473
107,Joel Edmundson,LAK,D,81,232,175,187,0.39521,0.32792,5.0,8476441
108,Samuel Girard,PIT,D,60,146,140,138,0.40681,0.32845,5.0,8479398
109,Mason Lohrei,BOS,D,73,145,131,169,0.39952,0.32869,5.0,8482511
110,Nick Seeler,PHI,D,80,166,131,169,0.40355,0.33252,5.0,8476372
111,Jamie Drysdale,PHI,D,78,206,164,225,0.39114,0.32971,5.0,8482142
112,Philip Broberg,STL,D,80,210,251,203,0.39581,0.33107,5.0,8481598
113,Andrew Peeke,BOS,D,77,141,188,177,0.39617,0.32705,4.9,8479369
114,Martin Fehérváry,WSH,D,81,113,219,197,0.39074,0.32532,4.9,8480796
