player_name,team,pos,GP,toi_per_game,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,OZE,DZE,NZE,DNZE,OZE_score,DZE_score,NZE_score,DNZE_score,CF_pct
Dante Fabbro,CBJ,D,74,14.685,122,150,210,0.6294,0.1046,0.1861,-0.1444,6.4,1.5,6.0,5.8,0.5058
Darnell Nurse,EDM,D,81,18.577,164,147,328,0.5997,0.1735,0.2158,-0.1141,5.1,5.8,7.4,6.5,0.5065
Darren Raddysh,TBL,D,73,16.813,151,153,216,0.6585,0.1892,0.2612,0.0292,7.6,6.8,9.6,10.0,0.4995
David Jiricek,PHI,D,26,11.446,28,47,51,,,0.0856,-0.3786,,,1.2,0.1,0.4767
David Reinbacher,MTL,D,2,12.292,2,1,4,,,,,,,,,0.4324
David Spacek,MIN,D,2,10.6,3,5,6,,,,,,,,,0.3846
Declan Carlile,TBL,D,42,13.313,67,51,113,0.5979,0.0931,0.1823,-0.1628,5.1,0.8,5.8,5.3,0.487
Declan Chisholm,WSH,D,26,13.072,19,35,54,,,0.1617,-0.2731,,,4.8,2.6,0.5075
Dennis Cholowski,NJD,D,17,14.306,23,27,36,,,,,,,,,0.4952
Dennis Gilbert,OTT,D,8,12.421,12,9,21,,,,,,,,,0.5039
Denton Mateychuk,CBJ,D,75,16.391,150,155,246,0.6147,0.1481,0.2016,-0.1374,5.8,4.2,6.8,5.9,0.4935
Derek Forbort,VAN,D,2,10.775,4,2,5,,,,,,,,,0.4963
Devon Toews,COL,D,67,17.522,229,117,258,0.7109,0.2029,0.2072,-0.095,9.8,7.6,7.0,7.0,0.5102
Dmitri Simashev,UTA,D,27,14.671,58,45,99,0.5425,,0.1477,-0.1795,2.7,,4.2,4.9,0.5114
Dmitry Kulikov,FLA,D,19,15.994,42,45,72,,,0.1466,-0.2346,,,4.1,3.6,0.4788
Dmitry Orlov,SJS,D,81,17.144,150,198,294,0.6128,0.1753,0.1883,-0.1495,5.7,5.9,6.1,5.6,0.514
Domenick Fensore,CAR,D,1,18.1,4,1,8,,,,,,,,,0.5758
Donovan Sebrango,FLA,D,42,14.226,72,67,132,0.5175,0.0883,0.1665,-0.1847,1.7,0.5,5.1,4.8,0.492
Dougie Hamilton,NJD,D,77,16.952,172,183,344,0.6577,0.1859,0.2282,-0.0695,7.6,6.5,8.0,7.6,0.5094
Drew Doughty,LAK,D,71,18.542,141,181,298,0.5828,0.1584,0.223,-0.039,4.4,4.8,7.8,8.3,0.5118
Drew Fortescue,NYR,D,9,14.581,11,13,21,,,,,,,,,0.4686
Drew Helleson,ANA,D,60,15.016,128,123,206,0.5939,0.1343,0.1708,-0.1298,4.9,3.3,5.3,6.1,0.4733
Dylan Coghlan,VGK,D,3,14.661,11,3,9,,,,,,,,,0.5546
Dylan DeMelo,WPG,D,81,18.305,231,191,340,0.6687,0.1697,0.1593,-0.1597,8.0,5.5,4.7,5.4,0.5023
Dylan McIlrath,WSH,D,13,9.109,7,24,30,,,,,,,,,0.4922
Dylan Samberg,WPG,D,65,18.321,104,181,251,0.5706,0.1387,0.1705,-0.1413,3.9,3.6,5.3,5.8,0.5261
Dysin Mayo,CBJ,D,3,8.378,9,1,5,,,,,,,,,0.5091
Egor Zamula,CBJ,D,33,12.509,42,28,93,,,0.1072,-0.3014,,,2.2,1.9,0.5252
Elias Pettersson,VAN,D,69,13.62,103,139,208,0.5676,0.109,0.1473,-0.24,3.8,1.8,4.1,3.4,0.4824
Elias Salomonsson,WPG,D,32,16.172,46,80,105,,0.1375,0.1281,-0.2019,,3.5,3.2,4.4,0.5071
Emil Andrae,PHI,D,61,14.427,112,74,137,0.6006,0.0993,0.1589,-0.1419,5.2,1.2,4.7,5.8,0.5019
Emil Lilleberg,TBL,D,50,15.215,99,88,183,0.6089,0.1186,0.1566,-0.1931,5.5,2.4,4.6,4.6,0.4951
Erik Cernak,TBL,D,61,14.307,97,150,240,0.5973,0.1436,0.1793,-0.0969,5.0,3.9,5.7,6.9,0.4963
Erik Gudbranson,CBJ,D,37,14.556,44,76,112,,0.1212,0.1562,-0.1839,,2.5,4.6,4.8,0.4632
Erik Gustafsson,DET,D,2,15.733,7,6,6,,,,,,,,,0.5045
Erik Karlsson,PIT,D,75,16.935,181,165,259,0.6653,0.2141,0.2021,-0.1044,7.9,8.3,6.8,6.7,0.4991
Esa Lindell,DAL,D,81,17.558,142,186,309,0.5888,0.133,0.2002,-0.1255,4.7,3.3,6.7,6.2,0.4972
Ethan Del Mastro,CHI,D,19,13.173,18,42,39,,,,,,,,,0.4751
Evan Bouchard,EDM,D,81,17.819,196,126,268,0.6714,0.1881,0.225,-0.057,8.1,6.7,7.9,7.9,0.5293
Filip Hronek,VAN,D,81,19.266,213,221,324,0.6409,0.149,0.1785,-0.1664,6.9,4.3,5.6,5.2,0.4843
Gustav Forsling,FLA,D,80,17.91,160,191,283,0.6623,0.1663,0.1738,-0.1095,7.8,5.3,5.4,6.6,0.4977
Hampus Lindholm,BOS,D,67,16.233,105,155,231,0.6191,0.1563,0.1905,-0.1577,6.0,4.7,6.2,5.4,0.5101
Harrison Brunicke,PIT,D,9,15.106,14,9,25,,,,,,,,,0.5203
Haydn Fleury,WPG,D,37,11.94,42,40,72,,,0.0796,-0.3694,,,0.9,0.3,0.478
Henri Jokiharju,BOS,D,41,15.953,59,96,137,0.5903,0.1461,0.1872,-0.1717,4.7,4.1,6.1,5.1,0.4905
Henry Thrun,TOR,D,4,14.404,5,12,11,,,,,,,,,0.4561
Hunter Brzustewicz,CGY,D,33,14.719,56,51,104,0.6123,0.0802,0.1149,-0.2375,5.7,0.0,2.6,3.5,0.4808
Hunter McDonald,PHI,D,1,12.6,3,0,0,,,,,,,,,0.421
Hunter Skinner,STL,D,1,10.75,1,0,4,,,,,,,,,0.4375
Ian Cole,UTA,D,81,14.765,122,141,228,0.5759,0.1415,0.1797,-0.1764,4.1,3.8,5.7,5.0,0.5192
Ian Moore,ANA,D,66,12.628,114,143,174,0.6907,0.1234,0.1696,-0.159,9.0,2.7,5.2,5.4,0.5233
Ilya Lyubushkin,DAL,D,53,14.037,52,88,181,0.4814,0.0814,0.1618,-0.2269,0.2,0.1,4.8,3.8,0.4895
Ilya Solovyov,PIT,D,30,12.413,35,37,90,,,0.1844,-0.1602,,,5.9,5.4,0.5353
Isaak Phillips,WPG,D,3,9.478,5,7,4,,,,,,,,,0.447
Isaiah George,NYI,D,4,12.808,2,11,11,,,,,,,,,0.4648
Ivan Provorov,CBJ,D,82,19.477,181,243,316,0.6169,0.1427,0.2276,-0.0939,5.9,3.9,8.0,7.0,0.4994
J.J. Moser,TBL,D,79,17.766,168,168,271,0.6461,0.196,0.2533,0.0116,7.1,7.2,9.2,9.6,0.4848
Jaccob Slavin,CAR,D,39,17.005,91,78,149,0.6953,0.2021,0.1999,-0.138,9.1,7.6,6.7,5.9,0.5262
Jack Ahcan,COL,D,11,11.458,7,19,31,,,,,,,,,0.5714
Jack St. Ivany,PIT,D,20,14.683,17,29,62,,,0.1416,-0.2399,,,3.9,3.4,0.477
Jackson LaCombe,ANA,D,81,17.799,203,274,338,0.6436,0.1745,0.2078,-0.07,7.0,5.8,7.1,7.6,0.5047
Jacob Bernard-Docker,DET,D,63,13.222,94,127,168,0.5813,0.1284,0.1436,-0.2265,4.4,3.0,4.0,3.8,0.5008
Jacob Bryson,WPG,D,50,10.514,47,71,129,,0.1066,0.1516,-0.1721,,1.6,4.4,5.1,0.4863
Jacob Moverare,LAK,D,15,8.756,15,12,23,,,,,,,,,0.5504
Jacob Trouba,ANA,D,80,17.993,176,229,337,0.6528,0.1545,0.2136,-0.07,7.4,4.6,7.3,7.6,0.5082
Jake Bean,CGY,D,16,15.12,28,30,45,,,,,,,,,0.4786
Jake Christiansen,CBJ,D,40,9.825,44,41,64,,,0.1804,-0.1874,,,5.7,4.7,0.4803
Jake Livanavage,PIT,D,1,20.033,0,0,7,,,,,,,,,0.4
Jake McCabe,TOR,D,80,18.152,128,296,295,0.6475,0.1144,0.1443,-0.2146,7.1,2.1,4.0,4.1,0.4968
Jake Middleton,MIN,D,75,15.141,102,144,190,0.566,0.1461,0.196,-0.1381,3.7,4.1,6.5,5.9,0.5012
Jake Sanderson,OTT,D,67,16.988,191,198,247,0.6919,0.1509,0.1699,-0.12,9.0,4.4,5.2,6.4,0.5179
Jake Walman,EDM,D,52,16.482,118,99,171,0.6105,0.1719,0.2037,-0.1006,5.6,5.7,6.9,6.8,0.505
Jakob Chychrun,WSH,D,80,18.422,203,126,243,0.6292,0.2277,0.2151,-0.1237,6.4,9.1,7.4,6.3,0.5022
Jalen Chatfield,CAR,D,72,17.078,192,137,274,0.6849,0.2105,0.2349,-0.0587,8.7,8.1,8.4,7.9,0.5331
Jamie Drysdale,PHI,D,78,17.93,144,144,265,0.6192,0.1539,0.1668,-0.1496,6.0,4.6,5.1,5.6,0.5004
Jamie Oleksiak,SEA,D,78,15.045,94,127,222,0.5675,0.113,0.1667,-0.2036,3.8,2.0,5.1,4.3,0.5015
Jared Spurgeon,MIN,D,79,15.778,120,180,231,0.6298,0.1478,0.2142,-0.0719,6.4,4.2,7.4,7.5,0.5239
Jaycob Megna,VGK,D,4,10.371,3,7,5,,,,,,,,,0.4889
Jayden Struble,MTL,D,59,13.527,89,52,135,0.5787,0.1677,0.1564,-0.2279,4.3,5.4,4.6,3.7,0.4937
Jeff Petry,MIN,D,67,13.083,124,76,193,0.5979,0.1249,0.1906,-0.151,5.1,2.8,6.2,5.6,0.4901
Jeremy Lauzon,VGK,D,68,15.015,122,144,267,0.6015,0.1547,0.1742,-0.1696,5.2,4.6,5.4,5.2,0.499
Joel Edmundson,LAK,D,81,15.387,237,139,229,0.6549,0.1417,0.2047,-0.0914,7.5,3.8,6.9,7.1,0.4953
Joel Hanley,CGY,D,68,13.374,124,110,169,0.648,0.1568,0.1473,-0.1908,7.2,4.7,4.1,4.6,0.5047
Joel Nystrom,CAR,D,38,13.741,117,51,128,0.6417,0.1208,0.1825,-0.1073,6.9,2.5,5.8,6.7,0.5479
John Carlson,ANA,D,70,16.813,142,132,178,0.6446,0.1836,0.162,-0.1689,7.0,6.4,4.9,5.2,0.5086
John Klingberg,SJS,D,55,16.625,122,111,184,0.5716,0.1709,0.1678,-0.2025,4.0,5.6,5.1,4.4,0.4818
John Marino,UTA,D,79,17.8,190,196,332,0.6861,0.132,0.1969,-0.1284,8.8,3.2,6.5,6.2,0.4956
Johnathan Kovacevic,NJD,D,34,15.975,56,95,98,0.5206,0.1287,0.2199,-0.0962,1.8,3.0,7.6,6.9,0.4935
Jonas Brodin,MIN,D,62,17.637,83,136,211,0.6082,0.1867,0.2126,-0.0819,5.5,6.6,7.3,7.3,0.506
Jonas Siegenthaler,NJD,D,82,17.15,159,219,364,0.6523,0.1694,0.2235,-0.0984,7.3,5.5,7.8,6.9,0.5021
Jonathan Aspirot,BOS,D,61,15.412,93,138,203,0.5691,0.1392,0.1483,-0.2146,3.9,3.7,4.2,4.1,0.503
Jordan Harris,BOS,D,8,14.008,9,7,26,,,,,,,,,0.4821
Jordan Oesterle,NSH,D,1,14.083,2,0,3,,,,,,,,,0.4899
Jordan Spence,OTT,D,73,16.601,224,98,274,0.6954,0.1647,0.2162,-0.067,9.2,5.2,7.5,7.7,0.5391
Jorian Donovan,OTT,D,2,6.975,0,0,2,,,,,,,,,0.2727
Josh Manson,COL,D,79,15.343,126,172,266,0.6447,0.1654,0.1669,-0.1455,7.0,5.3,5.1,5.7,0.512
Josh Morrissey,WPG,D,76,19.538,270,156,300,0.6733,0.2,0.1869,-0.132,8.2,7.4,6.1,6.1,0.5105
Joshua Mahura,SEA,D,23,13.85,27,36,67,,,0.1462,-0.226,,,4.1,3.8,0.5132
Justin Barron,NSH,D,51,13.197,71,73,137,0.6152,0.1644,0.1686,-0.166,5.8,5.2,5.2,5.2,0.4885
Justin Faulk,DET,D,78,17.722,174,195,290,0.6671,0.1391,0.2047,-0.1058,8.0,3.6,6.9,6.7,0.4785
Justin Holl,STL,D,8,14.606,7,12,17,,,,,,,,,0.4981
K'Andre Miller,CAR,D,72,18.501,206,143,253,0.6963,0.2187,0.2304,-0.0783,9.2,8.6,8.1,7.4,0.5099
Kaedan Korczak,VGK,D,78,15.204,132,121,251,0.6111,0.1421,0.1755,-0.167,5.6,3.8,5.5,5.2,0.5163
Kaiden Guhle,MTL,D,39,16.896,43,93,119,,0.156,0.163,-0.217,,4.7,4.9,4.0,0.4882
Keaton Middleton,COL,D,3,10.45,1,4,6,,,,,,,,,0.5116
Kevin Bahl,CGY,D,76,17.886,165,246,294,0.635,0.1371,0.1594,-0.1505,6.6,3.5,4.7,5.6,0.4976
Kevin Korchinski,CHI,D,13,13.387,28,20,30,,,,,,,,,0.4661
Kirill Kudryavtsev,VAN,D,2,14.033,4,4,5,,,,,,,,,0.4531
Kris Letang,PIT,D,74,17.54,171,99,216,0.6145,0.196,0.1907,-0.1895,5.8,7.2,6.2,4.7,0.4999
Kurtis MacDermid,OTT,D,19,4.168,25,4,29,,,,,,,,,0.472
Kyle Capobianco,DAL,D,33,11.646,43,28,63,,,0.1174,-0.3164,,,2.7,1.6,0.522
Lane Hutson,MTL,D,82,18.338,196,116,241,0.6108,0.1348,0.1855,-0.1774,5.6,3.4,6.0,5.0,0.5142
Lassi Thomson,OTT,D,11,12.821,24,14,31,,,,,,,,,0.505
Lian Bichsel,DAL,D,50,14.436,52,80,144,0.5424,0.0979,0.1614,-0.2345,2.7,1.1,4.8,3.6,0.4946
Logan Mailloux,STL,D,66,14.889,145,105,224,0.6476,0.128,0.1669,-0.1797,7.2,3.0,5.1,4.9,0.4833
Logan Stanley,BUF,D,76,14.814,110,144,214,0.6034,0.1254,0.1409,-0.2486,5.3,2.8,3.8,3.2,0.5007
Louis Crevier,CHI,D,78,14.856,85,236,280,0.5979,0.1338,0.1466,-0.1732,5.1,3.3,4.1,5.1,0.4766
Luca Cagnoni,SJS,D,2,14.767,4,2,6,,,,,,,,,0.4586
Ludvig Jansson,FLA,D,4,15.438,11,10,14,,,,,,,,,0.4912
Luke Hughes,NJD,D,68,18.784,200,201,259,0.6122,0.2061,0.269,-0.0069,5.7,7.8,10.0,9.1,0.4926
Luke Schenn,BUF,D,50,11.736,55,83,110,0.5184,0.1163,0.0926,-0.3299,1.7,2.2,1.5,1.3,0.4926
MacKenzie Weegar,UTA,D,78,17.625,188,233,347,0.6521,0.158,0.1689,-0.1439,7.3,4.8,5.2,5.8,0.524
Marcus Pettersson,VAN,D,81,17.972,130,235,305,0.5555,0.1025,0.1771,-0.1612,3.3,1.4,5.6,5.4,0.5034
Marek Alscher,FLA,D,4,18.458,7,10,17,,,,,,,,,0.5
Mario Ferraro,SJS,D,81,17.063,115,188,270,0.5856,0.1601,0.1762,-0.1982,4.6,4.9,5.5,4.5,0.4797
Marshall Rifai,TOR,D,1,9.667,1,1,0,,,,,,,,,0.4478
Marshall Warren,NYI,D,8,11.19,20,9,22,,,,,,,,,0.4828
Martin Fehérváry,WSH,D,81,15.757,81,195,250,0.5994,0.1985,0.1614,-0.2115,5.1,7.3,4.8,4.1,0.4968
Mason Lohrei,BOS,D,73,14.831,122,114,228,0.6148,0.1177,0.1857,-0.172,5.8,2.3,6.0,5.1,0.4801
Mathew Dumba,PIT,D,11,14.608,10,20,30,,,,,,,,,0.4873
Matt Benning,TOR,D,1,12.35,0,2,4,,,,,,,,,0.4633
Matt Grzelcyk,CHI,D,69,14.966,149,120,206,0.5745,0.1203,0.1463,-0.2255,4.1,2.5,4.1,3.8,0.4922
Matt Kiersted,MIN,D,6,13.217,14,19,13,,,,,,,,,0.4861
Matt Roy,WSH,D,79,17.277,100,157,219,0.5444,0.1935,0.2101,-0.1419,2.8,7.0,7.2,5.8,0.5225
Matthew Kessel,STL,D,29,11.945,55,32,76,0.5859,,0.1516,-0.2009,4.6,,4.4,4.4,0.4846
Matthew Robertson,NYR,D,72,15.472,86,141,183,0.607,0.153,0.1738,-0.1736,5.5,4.5,5.4,5.1,0.494
Matthew Schaefer,NYI,D,82,18.308,172,169,299,0.6678,0.1315,0.1943,-0.1392,8.0,3.2,6.4,5.9,0.4977
Mattias Ekholm,EDM,D,81,17.376,192,128,277,0.6793,0.1957,0.2161,-0.0688,8.5,7.2,7.5,7.6,0.5275
Mattias Samuelsson,BUF,D,78,18.793,178,235,382,0.638,0.1948,0.2015,-0.1141,6.8,7.1,6.8,6.5,0.4952
Maveric Lamoureux,UTA,D,5,14.64,7,7,6,,,,,,,,,0.5084
Maxim Groshev,TBL,D,2,11.475,0,7,4,,,,,,,,,0.4118
Maxwell Crozier,TBL,D,35,14.282,65,43,96,0.5511,,0.1959,-0.1717,3.1,,6.5,5.1,0.5193
Michael Callahan,BOS,D,5,11.71,4,10,15,,,,,,,,,0.4535
Michael Kesselring,BUF,D,34,12.374,41,59,87,,0.0889,0.1444,-0.2267,,0.5,4.0,3.8,0.5062
Mike Benning,FLA,D,18,15.362,33,35,46,,,,,,,,,0.4842
Mike Matheson,MTL,D,78,18.404,123,229,331,0.5681,0.1414,0.1844,-0.1425,3.8,3.8,5.9,5.8,0.4916
Mike Reilly,CAR,D,42,13.512,125,46,165,0.6442,,0.2179,-0.0561,7.0,,7.5,7.9,0.5249
Mikey Anderson,LAK,D,79,17.65,123,203,296,0.5956,0.1294,0.2043,-0.0812,5.0,3.0,6.9,7.3,0.5104
Mikhail Sergachev,UTA,D,77,17.104,205,230,325,0.6661,0.1568,0.2301,-0.0367,7.9,4.7,8.1,8.4,0.5036
Mikulas Hovorka,FLA,D,4,13.658,9,4,15,,,,,,,,,0.4787
Miro Heiskanen,DAL,D,77,17.147,194,165,261,0.6047,0.1597,0.2046,-0.1181,5.4,4.9,6.9,6.4,0.5054
Morgan Rielly,TOR,D,78,17.009,301,143,283,0.6621,0.1521,0.1798,-0.1515,7.8,4.5,5.7,5.6,0.5031
