player_name,team,pos,PFR,PUR,PAR,games_played,total_5v5_toi_minutes,toi_per_game,oz_faceoff_shifts,oz_faceoff_shifts_per_game,dz_faceoff_shifts,dz_faceoff_shifts_per_game,player_OZ_retention_pct,player_DZ_escape_rate_pct,OUER,DUER,OAER,DAER,NZ_ratio,ROC,ROL,ROC_adj,ROL_adj,context_flag,CF_pct,player_id,seasons_covered,player_DZ_time_pct,PUR_raw,PAR_raw,teammates_avg_OZ_retention,teammates_avg_DZ_escape,ROC_weight_sec,ROL_weight_sec
Jake Middleton,MIN,D,1.0675,0.7663,0.7179,313,5265.82,16.824,562,1.796,743,2.374,69.12,26.75,0.9822,1.009,0.968,0.9163,0.9976,0.7673,0.8093,0.7433,0.7605,🟡 Solid — system supported,0.5012,8478136,"2022-23, 2023-24, 2024-25, 2025-26",73.25,2.1658,2.0495,0.7141,0.2919,622017,318247
Shayne Gostisbehere,CAR,D,1.0686,0.736,0.6888,311,4669.57,15.015,798,2.566,489,1.572,74.36,28.8,1.0566,1.0864,1.0081,1.0177,0.9941,0.7586,0.7792,0.7366,0.7369,🟡 Solid — system supported,0.5074,8476906,"2022-23, 2023-24, 2024-25, 2025-26",71.2,2.0803,1.9664,0.7377,0.283,551393,279566
Jacob Moverare,LAK,D,1.0696,0.5335,0.4988,92,967.0,10.511,94,1.022,112,1.217,69.78,32.54,0.9915,1.2276,0.98,1.1158,0.9192,0.7556,0.7716,0.7346,0.7362,🔴 Underperforming — no excuse,0.5504,8479421,"2022-23, 2023-24, 2024-25, 2025-26",67.46,1.508,1.4242,0.712,0.2917,112952,58374
Gustav Forsling,FLA,D,1.0716,0.8868,0.8276,389,7074.38,18.186,918,2.36,945,2.429,72.24,29.3,1.0264,1.1054,0.9749,1.0346,1.0043,0.7768,0.8037,0.7497,0.7595,🟢 Elite — system supported,0.4977,8478055,"2022-23, 2023-24, 2024-25, 2025-26",70.7,2.5066,2.3628,0.741,0.2832,840183,421330
Jonas Brodin,MIN,D,1.0719,0.9206,0.8588,246,4566.25,18.562,471,1.915,571,2.321,70.86,30.78,1.0069,1.1612,0.994,1.0492,1.0061,0.7725,0.8125,0.7473,0.7664,🟢 Elite — system supported,0.506,8476463,"2022-23, 2023-24, 2024-25, 2025-26",69.22,2.6018,2.452,0.7129,0.2934,541113,275906
Samuel Girard,PIT,D,1.072,0.8596,0.8019,291,5054.2,17.368,629,2.162,730,2.509,71.59,30.39,1.0172,1.1465,0.9802,1.0587,0.9977,0.7593,0.7839,0.7373,0.7273,🟢 Elite — system supported,0.5106,8479398,"2022-23, 2023-24, 2024-25, 2025-26",69.61,2.4295,2.2894,0.7304,0.2871,593889,305580
Aaron Ekblad,FLA,D,1.0723,0.8241,0.7686,313,5232.82,16.718,730,2.332,815,2.604,73.83,29.32,1.049,1.106,0.9987,1.0315,1.0421,0.7801,0.8626,0.7515,0.8078,🟢 Elite — system supported,0.4985,8477932,"2022-23, 2023-24, 2024-25, 2025-26",70.68,2.3293,2.1943,0.7393,0.2843,621558,316197
Scott Morrow,NYR,D,1.0733,0.744,0.6932,50,696.33,13.927,92,1.84,74,1.48,67.38,36.53,0.9575,1.378,0.9302,1.2678,0.9131,0.7481,0.7329,0.728,0.6969,🟡 Solid — system supported,0.5172,8482666,"2023-24, 2024-25, 2025-26",63.47,2.1028,1.979,0.7244,0.2881,83070,41193
Tyson Barrie,CGY,D,1.0743,0.7187,0.669,140,2100.3,15.002,305,2.179,213,1.521,71.01,28.77,1.009,1.0853,0.9826,0.9868,0.9738,0.7544,0.7767,0.7321,0.7317,🟡 Solid — system supported,0.4823,8475197,"2022-23, 2023-24, 2024-25",71.23,2.0313,1.9101,0.7227,0.2916,248367,110115
Brett Kulak,COL,D,1.0744,0.8041,0.7485,387,6261.6,16.18,775,2.003,758,1.959,68.76,31.7,0.977,1.1957,0.9533,1.0895,0.9711,0.7631,0.7563,0.7401,0.7089,🟢 Elite — system supported,0.5127,8476967,"2022-23, 2023-24, 2024-25, 2025-26",68.3,2.2728,2.1369,0.7213,0.2909,737856,373652
