player_name,team,pos,PFR,PUR,PAR,games_played,total_5v5_toi_minutes,toi_per_game,oz_faceoff_shifts,oz_faceoff_shifts_per_game,dz_faceoff_shifts,dz_faceoff_shifts_per_game,player_OZ_retention_pct,player_DZ_escape_rate_pct,OUER,DUER,OAER,DAER,NZ_ratio,ROC,ROL,ROC_adj,ROL_adj,context_flag,CF_pct,player_id,seasons_covered,player_DZ_time_pct,PUR_raw,PAR_raw,teammates_avg_OZ_retention,teammates_avg_DZ_escape,ROC_weight_sec,ROL_weight_sec
Mark Jankowski,CAR,C,0.952,0.5373,0.5644,223,2265.0,10.157,404,1.812,334,1.498,75.94,28.3,1.0511,1.071,1.0529,0.9631,0.9768,0.6102,0.6187,0.671,0.6554,🔴 Underperforming — neutral,0.5288,8476873,"2022-23, 2023-24, 2024-25, 2025-26",71.7,1.8185,1.7276,0.7212,0.2938,388213,260346
Warren Foegele,OTT,L,0.9528,0.6658,0.6988,339,4149.85,12.241,688,2.029,591,1.743,72.14,31.27,0.9986,1.1834,1.0143,1.0568,0.9874,0.6409,0.6721,0.7004,0.7114,🟡 Neutral,0.5243,8477998,"2022-23, 2023-24, 2024-25, 2025-26",68.73,2.2537,2.1391,0.7112,0.2959,726203,493010
Reid Schaefer,NSH,L,0.9529,0.5233,0.5492,46,432.63,9.405,50,1.087,66,1.435,68.8,33.81,0.9524,1.2796,0.9706,1.1478,1.0507,0.6299,0.5768,0.6865,0.6151,🔴 Underperforming — neutral,0.4439,8483513,2025-26,66.19,1.7712,1.681,0.7089,0.2946,72840,46239
Mats Zuccarello,MIN,R,0.9532,0.8084,0.8481,287,4220.43,14.705,793,2.763,401,1.397,70.57,32.46,0.9768,1.2285,0.9888,1.1036,0.9425,0.6364,0.7592,0.6975,0.8056,🟢 Elite — consistent,0.5039,8475692,"2022-23, 2023-24, 2024-25, 2025-26",67.54,2.7361,2.596,0.7137,0.2941,745860,504143
Eric Robinson,CAR,L,0.9533,0.556,0.5833,283,3107.58,10.981,548,1.936,472,1.668,72.8,27.05,1.0077,1.0236,1.004,0.9231,0.9754,0.6126,0.6355,0.6735,0.6691,🔴 Underperforming — neutral,0.4952,8480762,"2022-23, 2023-24, 2024-25, 2025-26",72.95,1.8819,1.7854,0.7251,0.293,540748,356723
Logan Stankoven,CAR,C,0.9601,0.7383,0.769,217,2870.47,13.228,502,2.313,310,1.429,76.49,31.19,1.0588,1.1803,1.0493,1.0598,0.923,0.6392,0.6721,0.6979,0.7099,🟢 Elite — consistent,0.5201,8482702,"2023-24, 2024-25, 2025-26",68.81,2.499,2.3539,0.7289,0.2943,504681,340811
Stefan Noesen,NJD,R,0.9649,0.5464,0.5663,306,3254.55,10.636,653,2.134,435,1.422,74.07,27.37,1.0253,1.0358,1.0142,0.9177,1.0136,0.6146,0.6594,0.6743,0.6851,🔴 Underperforming — neutral,0.5287,8476474,"2022-23, 2023-24, 2024-25, 2025-26",72.63,1.8495,1.7335,0.7304,0.2982,565523,381809
William Carrier,CAR,L,0.9653,0.5867,0.6078,248,2735.28,11.029,476,1.919,490,1.976,72.31,29.94,1.0009,1.1332,0.9947,1.0046,1.0136,0.6266,0.6524,0.6862,0.6811,🟡 Neutral,0.5208,8477478,"2022-23, 2023-24, 2024-25, 2025-26",70.06,1.9858,1.8604,0.7269,0.298,479224,320455
Gavin Brindley,COL,C,0.9672,0.4136,0.4276,57,475.27,8.338,81,1.421,59,1.035,68.8,27.42,0.9523,1.0376,0.9483,0.9124,0.9434,0.6198,0.6176,0.6793,0.6506,🔴 Underperforming — neutral,0.5169,8484149,"2023-24, 2025-26",72.58,1.3999,1.309,0.7255,0.3005,81342,41956
Matt Savoie,EDM,C,0.9673,0.6267,0.6479,86,1024.48,11.913,187,2.174,101,1.174,72.79,29.14,1.0076,1.1029,1.0055,0.9678,0.9315,0.6406,0.7342,0.7012,0.7685,🟡 Neutral,0.5148,8483512,"2023-24, 2024-25, 2025-26",70.86,2.1212,1.9834,0.7239,0.3011,178163,108589
Mikko Rantanen,DAL,R,0.9717,0.8738,0.8992,343,5588.08,16.292,1348,3.93,623,1.816,74.06,29.76,1.0252,1.1264,1.0141,0.9883,0.97,0.6432,0.7587,0.7033,0.791,🟢 Elite — consistent,0.5061,8478420,"2022-23, 2023-24, 2024-25, 2025-26",70.24,2.9574,2.7525,0.7303,0.3011,984562,663445
Valeri Nichushkin,COL,R,0.975,0.7799,0.7999,238,3331.33,13.997,654,2.748,446,1.874,76.07,31.24,1.0529,1.1824,1.0392,1.0341,0.9436,0.6395,0.7563,0.7015,0.7864,🟢 Elite — consistent,0.5097,8477501,"2022-23, 2023-24, 2024-25, 2025-26",68.76,2.6398,2.4485,0.7319,0.3021,585510,393916
Jack Drury,COL,C,0.979,0.5866,0.5992,296,3239.97,10.946,528,1.784,402,1.358,73.83,29.8,1.022,1.1279,1.0066,0.9795,1.0202,0.6109,0.6297,0.6718,0.65,🔴 Underperforming — neutral,0.536,8480835,"2022-23, 2023-24, 2024-25, 2025-26",70.2,1.9855,1.8341,0.7335,0.3043,560498,377750
Leon Draisaitl,EDM,C,0.9803,0.8865,0.9044,355,5708.33,16.08,1213,3.417,789,2.223,74.05,31.35,1.0251,1.1866,1.0255,1.015,0.9133,0.6454,0.7391,0.7054,0.7682,🟢 Elite — consistent,0.5213,8477934,"2022-23, 2023-24, 2024-25, 2025-26",68.65,3.0005,2.7683,0.7221,0.3089,1011845,681506
Ryan Nugent-Hopkins,EDM,C,0.9811,0.7006,0.7142,369,4897.98,13.274,932,2.526,686,1.859,72.61,29.4,1.005,1.1125,1.0013,0.9507,0.9954,0.6461,0.7734,0.7069,0.7977,🟢 Elite — consistent,0.5087,8476454,"2022-23, 2023-24, 2024-25, 2025-26",70.6,2.3714,2.1861,0.7251,0.3092,865658,584336
Derek Stepan,CAR,C,0.9861,0.4635,0.47,84,737.85,8.784,195,2.321,97,1.155,75.97,28.15,1.0516,1.0653,1.0228,0.9186,1.025,0.5648,0.5999,0.6247,0.6094,🔴 Underperforming — neutral,0.5646,8474613,2022-23,71.85,1.5688,1.4388,0.7427,0.3064,125947,86683
Connor McDavid,EDM,C,0.991,0.9728,0.9817,365,6094.1,16.696,1181,3.236,567,1.553,75.59,34.12,1.0463,1.2912,1.0393,1.0939,0.9355,0.6483,0.7533,0.7087,0.7748,🟢 Elite — consistent,0.5266,8478402,"2022-23, 2023-24, 2024-25, 2025-26",65.88,3.2927,3.0049,0.7273,0.3119,1078604,725538
Gabriel Landeskog,COL,L,0.9916,0.7046,0.7106,65,859.12,13.217,175,2.692,126,1.938,72.51,29.99,1.0037,1.1348,0.9873,0.9632,0.9499,0.6438,0.7568,0.7038,0.7835,🟢 Elite — consistent,0.5423,8476455,"2024-25, 2025-26",70.01,2.3848,2.175,0.7344,0.3113,148189,102521
Zach Hyman,EDM,L,0.9934,0.8506,0.8562,341,5194.37,15.233,1066,3.126,529,1.551,74.9,31.79,1.0367,1.2033,1.0292,1.0101,0.9323,0.6433,0.811,0.7036,0.8311,🟢 Elite — consistent,0.5247,8475786,"2022-23, 2023-24, 2024-25, 2025-26",68.21,2.8789,2.6208,0.7277,0.3148,919616,621090
Paul Stastny,CAR,C,0.9958,0.5531,0.5554,88,902.8,10.259,215,2.443,96,1.091,74.14,30.03,1.0262,1.1366,0.993,0.9713,1.0653,0.5889,0.6401,0.6489,0.6452,🔴 Underperforming — neutral,0.5392,8471669,2022-23,69.97,1.872,1.7002,0.7466,0.3092,154877,106511
Artturi Lehkonen,COL,L,0.9982,0.8061,0.8076,272,3970.6,14.598,830,3.051,427,1.57,75.94,30.76,1.0511,1.1642,1.0313,0.9758,1.023,0.6469,0.8202,0.7076,0.8403,🟢 Elite — consistent,0.5086,8477476,"2022-23, 2023-24, 2024-25, 2025-26",69.24,2.7284,2.4721,0.7363,0.3152,702446,471624
Jesperi Kotkaniemi,CAR,C,0.9989,0.7088,0.7096,321,3855.58,12.011,771,2.402,367,1.143,72.91,35.89,1.0092,1.3583,0.9854,1.1581,0.953,0.612,0.6845,0.6736,0.6986,🟢 Elite — consistent,0.5218,8480829,"2022-23, 2023-24, 2024-25, 2025-26",64.11,2.3992,2.1722,0.7399,0.3099,669864,453272
Nathan MacKinnon,COL,C,1.0,1.0,1.0,337,5677.58,16.847,1405,4.169,543,1.611,75.95,35.14,1.0513,1.3298,1.0305,1.1231,0.9869,0.6434,0.776,0.7052,0.7955,🟢 Elite — consistent,0.5166,8477492,"2022-23, 2023-24, 2024-25, 2025-26",64.86,3.3847,3.0611,0.7371,0.3129,1001938,676275
Sebastian Aho,CAR,C,1.0008,0.7591,0.7585,352,4806.87,13.656,1055,2.997,480,1.364,76.34,31.0,1.0567,1.1733,1.0277,0.9875,0.9562,0.6549,0.7236,0.7174,0.7336,🟢 Elite — consistent,0.531,8478427,"2022-23, 2023-24, 2024-25, 2025-26",69.0,2.5693,2.3218,0.7428,0.3139,850527,574205
Jackson Blake,CAR,R,1.002,0.7459,0.7444,177,2211.0,12.492,432,2.441,172,0.972,74.81,35.93,1.0356,1.3597,1.0093,1.1528,0.9002,0.6248,0.7001,0.6865,0.7217,🟢 Elite — consistent,0.5256,8482809,"2023-24, 2024-25, 2025-26",64.07,2.5245,2.2786,0.7413,0.3117,386994,260555
Seth Jarvis,CAR,C,1.0036,0.7369,0.7342,348,4597.15,13.21,990,2.845,556,1.598,75.44,31.53,1.0442,1.1934,1.0111,1.0054,0.9589,0.65,0.7209,0.7127,0.7278,🟢 Elite — consistent,0.5345,8482093,"2022-23, 2023-24, 2024-25, 2025-26",68.47,2.494,2.2475,0.7461,0.3137,813258,549228
Andrei Svechnikov,CAR,R,1.0054,0.7756,0.7715,300,4023.72,13.412,870,2.9,469,1.563,76.26,33.41,1.0557,1.2643,1.0273,1.0597,0.9316,0.6448,0.7227,0.7067,0.7291,🟢 Elite — consistent,0.5229,8480830,"2022-23, 2023-24, 2024-25, 2025-26",66.59,2.6252,2.3616,0.7424,0.3153,710732,482139
Martin Necas,COL,C,1.0074,0.8305,0.8244,349,5097.95,14.607,1000,2.865,443,1.269,72.47,33.76,1.0032,1.2778,0.9788,1.0688,0.9504,0.6356,0.7315,0.6977,0.7433,🟢 Elite — consistent,0.5169,8480039,"2022-23, 2023-24, 2024-25, 2025-26",66.24,2.811,2.5235,0.7404,0.3159,893350,608424
Jesper Fast,CAR,R,1.0091,0.7287,0.7221,168,2064.38,12.288,408,2.429,333,1.982,80.46,33.43,1.1137,1.2652,1.0725,1.0595,1.0541,0.6396,0.7079,0.7021,0.7055,🟢 Elite — consistent,0.5372,8475855,"2022-23, 2023-24",66.57,2.4662,2.2103,0.7502,0.3155,362959,246987
Jordan Martinook,CAR,L,1.0112,0.7475,0.7392,361,4687.65,12.985,908,2.515,830,2.299,77.12,32.81,1.0675,1.2417,1.0286,1.0367,1.0032,0.65,0.7075,0.7128,0.7091,🟢 Elite — consistent,0.5328,8476921,"2022-23, 2023-24, 2024-25, 2025-26",67.19,2.5299,2.2627,0.7498,0.3165,829789,558516
Jordan Staal,CAR,C,1.012,0.7233,0.7147,352,4503.63,12.794,875,2.486,872,2.477,76.94,31.79,1.065,1.203,1.0251,1.0017,1.0041,0.6524,0.716,0.7149,0.7186,🟢 Elite — consistent,0.5334,8473533,"2022-23, 2023-24, 2024-25, 2025-26",68.21,2.4482,2.1879,0.7505,0.3173,798574,538087
