player_name,team,pos,PFR,PUR,PAR,games_played,total_5v5_toi_minutes,toi_per_game,oz_faceoff_shifts,oz_faceoff_shifts_per_game,dz_faceoff_shifts,dz_faceoff_shifts_per_game,player_OZ_retention_pct,player_DZ_escape_rate_pct,OUER,DUER,OAER,DAER,NZ_ratio,ROC,ROL,ROC_adj,ROL_adj,context_flag,CF_pct,player_id,seasons_covered,player_DZ_time_pct,PUR_raw,PAR_raw,teammates_avg_OZ_retention,teammates_avg_DZ_escape,ROC_weight_sec,ROL_weight_sec
Martin Necas,COL,C,1.0089,0.939,0.9307,78,1270.75,16.292,266,3.41,116,1.487,75.27,35.72,1.0492,1.3022,1.0219,1.0861,0.9613,0.6409,0.8292,0.7089,0.8374,🟢 Elite — consistent,0.5169,8480039,"2022-23, 2023-24, 2024-25, 2025-26",64.28,3.0791,2.7604,0.7366,0.3289,205837,151058
Artturi Lehkonen,COL,L,1.0093,0.7797,0.7725,69,986.77,14.301,189,2.739,102,1.478,75.08,32.31,1.0464,1.1777,1.0194,0.9738,1.0371,0.6443,0.868,0.7123,0.8746,🟢 Elite — consistent,0.5086,8477476,"2022-23, 2023-24, 2024-25, 2025-26",67.69,2.5567,2.2912,0.7365,0.3317,161977,117153
Seth Jarvis,CAR,C,1.0264,0.7337,0.7148,71,918.45,12.936,213,3.0,94,1.324,77.85,33.7,1.0852,1.2286,1.0145,1.0245,0.9239,0.6441,0.7147,0.7129,0.6901,🟡 Neutral,0.5345,8482093,"2022-23, 2023-24, 2024-25, 2025-26",66.3,2.4058,2.1201,0.7674,0.3289,151678,110066
Sebastian Aho,CAR,C,1.0294,0.7291,0.7082,79,1051.18,13.306,243,3.076,108,1.367,78.45,31.32,1.0935,1.1416,1.0239,0.94,0.8971,0.6468,0.7159,0.7145,0.6913,🟡 Neutral,0.531,8478427,"2022-23, 2023-24, 2024-25, 2025-26",68.68,2.3906,2.1005,0.7662,0.3331,173379,125663
Mark Jankowski,CAR,C,1.032,0.541,0.5242,68,656.37,9.652,170,2.5,95,1.397,76.27,33.55,1.0631,1.2231,1.0141,0.9898,0.9772,0.5911,0.6396,0.6554,0.614,🔴 Underperforming — neutral,0.5288,8476873,"2022-23, 2023-24, 2024-25, 2025-26",66.45,1.7738,1.5547,0.7521,0.339,93398,72878
Jesperi Kotkaniemi,CAR,C,1.0335,0.7008,0.6781,42,454.7,10.826,106,2.524,56,1.333,73.88,44.18,1.0297,1.6108,0.9791,1.332,0.9222,0.5827,0.6341,0.6482,0.6081,🟡 Neutral,0.5218,8480829,"2022-23, 2023-24, 2024-25, 2025-26",55.82,2.2978,2.0111,0.7546,0.3317,67525,46934
Andrei Svechnikov,CAR,R,1.0336,0.6968,0.6741,79,1027.57,13.007,230,2.911,115,1.456,78.21,30.04,1.0901,1.0951,1.0209,0.8915,0.9323,0.6451,0.7268,0.7126,0.7025,🟡 Neutral,0.5229,8480830,"2022-23, 2023-24, 2024-25, 2025-26",69.96,2.2847,1.9993,0.7661,0.337,169370,123033
Eric Robinson,CAR,L,1.0355,0.544,0.5253,67,683.85,10.207,153,2.284,88,1.313,76.0,30.58,1.0594,1.1147,1.0092,0.8898,1.0337,0.5956,0.648,0.6612,0.6227,🔴 Underperforming — neutral,0.4952,8480762,"2022-23, 2023-24, 2024-25, 2025-26",69.42,1.7836,1.558,0.7531,0.3436,99710,76667
William Carrier,CAR,L,1.0376,0.5825,0.5614,70,740.7,10.581,160,2.286,135,1.929,74.32,33.19,1.036,1.2099,0.9853,0.9725,1.0161,0.6195,0.6573,0.6873,0.6316,🔴 Underperforming — neutral,0.5208,8477478,"2022-23, 2023-24, 2024-25, 2025-26",66.81,1.9101,1.6652,0.7543,0.3413,113707,85759
Jordan Martinook,CAR,L,1.0426,0.7115,0.6824,77,945.25,12.276,200,2.597,176,2.286,74.87,36.23,1.0435,1.3209,0.9917,1.0596,0.966,0.6424,0.6892,0.7111,0.6598,🟡 Neutral,0.5328,8476921,"2022-23, 2023-24, 2024-25, 2025-26",63.77,2.333,2.024,0.755,0.3419,153735,110528
Jordan Staal,CAR,C,1.0462,0.7143,0.6828,75,939.83,12.531,186,2.48,187,2.493,74.87,35.16,1.0436,1.2818,0.9907,1.0198,0.9588,0.6439,0.6916,0.7114,0.663,🟡 Neutral,0.5334,8473533,"2022-23, 2023-24, 2024-25, 2025-26",64.84,2.3422,2.025,0.7557,0.3448,154188,112178
Nikolaj Ehlers,CAR,L,1.0528,0.7313,0.6946,82,1045.52,12.75,215,2.622,102,1.244,75.23,35.42,1.0485,1.2913,0.989,1.0212,0.9318,0.6309,0.7405,0.6987,0.7089,🟡 Solid — system supported,0.5264,8477940,"2022-23, 2023-24, 2024-25, 2025-26",64.58,2.3979,2.0601,0.7606,0.3468,167094,122851
Taylor Hall,CAR,L,1.057,0.7394,0.6995,80,1001.65,12.521,192,2.4,68,0.85,75.55,37.19,1.0531,1.3559,0.9946,1.0669,0.9003,0.6075,0.7395,0.6744,0.7038,🟡 Solid — system supported,0.5119,8475791,"2022-23, 2023-24, 2024-25, 2025-26",62.81,2.4244,2.0747,0.7596,0.3486,151984,119000
Jackson Blake,CAR,R,1.0576,0.8134,0.7691,81,1096.45,13.536,189,2.333,55,0.679,78.32,37.29,1.0917,1.3595,1.0369,1.0595,0.8906,0.6132,0.7578,0.6805,0.7189,🟢 Elite — system supported,0.5256,8482809,"2023-24, 2024-25, 2025-26",62.71,2.667,2.281,0.7554,0.352,170831,130266
Logan Stankoven,CAR,C,1.0591,0.8147,0.7692,81,1088.98,13.444,191,2.358,57,0.704,75.77,38.84,1.0561,1.416,0.9957,1.1155,0.8906,0.6157,0.7583,0.6827,0.7197,🟢 Elite — system supported,0.5201,8482702,"2023-24, 2024-25, 2025-26",61.16,2.6714,2.2815,0.7609,0.3482,169195,129437
