player_name,team,pos,PFR,PUR,PAR,games_played,total_5v5_toi_minutes,toi_per_game,oz_faceoff_shifts,oz_faceoff_shifts_per_game,dz_faceoff_shifts,dz_faceoff_shifts_per_game,player_OZ_retention_pct,player_DZ_escape_rate_pct,OUER,DUER,OAER,DAER,NZ_ratio,ROC,ROL,ROC_adj,ROL_adj,context_flag,CF_pct,player_id,seasons_covered,player_DZ_time_pct,PUR_raw,PAR_raw,teammates_avg_OZ_retention,teammates_avg_DZ_escape,ROC_weight_sec,ROL_weight_sec
Elias Pettersson,VAN,D,0.9025,0.4563,0.5056,69,939.8,13.62,103,1.493,139,2.014,66.33,21.35,0.9478,0.7679,0.9319,0.9009,0.9731,0.6544,0.6313,0.6711,0.6966,🔴 Underperforming — tough situation,0.4824,8483678,"2024-25, 2025-26",78.65,1.4296,1.5272,0.7118,0.237,102537,49205
Jamie Oleksiak,SEA,D,0.9047,0.5345,0.5908,78,1173.48,15.045,94,1.205,127,1.628,66.76,24.06,0.9539,0.8653,0.9564,0.9822,0.9609,0.6471,0.6071,0.6658,0.6641,🔴 Underperforming — tough situation,0.5015,8476467,"2022-23, 2023-24, 2024-25, 2025-26",75.94,1.6744,1.7844,0.698,0.245,129265,60799
Brandon Montour,SEA,D,0.9051,0.7472,0.8255,63,1193.63,18.947,131,2.079,133,2.111,67.38,29.39,0.9627,1.0568,0.9588,1.1924,0.9226,0.6542,0.5712,0.6732,0.6218,🟢 Elite — self made,0.4961,8477986,"2022-23, 2023-24, 2024-25, 2025-26",70.61,2.3408,2.4935,0.7027,0.2465,132559,69270
Filip Hronek,VAN,D,0.9118,0.7118,0.7807,81,1560.53,19.266,213,2.63,221,2.728,70.53,24.59,1.0078,0.8842,0.9922,1.0084,0.9797,0.6596,0.6589,0.6776,0.7,🟢 Elite — self made,0.4843,8479425,"2022-23, 2023-24, 2024-25, 2025-26",75.41,2.23,2.358,0.7109,0.2438,174202,91865
Ryker Evans,SEA,D,0.914,0.525,0.5744,66,1041.98,15.788,74,1.121,83,1.258,65.46,21.34,0.9353,0.7676,0.9364,0.8597,0.8977,0.6531,0.6017,0.6702,0.6602,🔴 Underperforming — tough situation,0.4925,8482858,"2023-24, 2024-25, 2025-26",78.66,1.6446,1.7348,0.699,0.2483,113556,56100
Logan Mailloux,STL,D,0.9171,0.5756,0.6276,66,982.67,14.889,145,2.197,105,1.591,72.54,26.23,1.0364,0.9432,0.9926,1.0886,1.0062,0.6484,0.6413,0.6667,0.6918,🟡 Solid — self made,0.4833,8482733,"2023-24, 2024-25, 2025-26",73.77,1.8032,1.8957,0.7308,0.241,105461,57809
Connor Murphy,EDM,D,0.9181,0.4983,0.5427,79,1142.93,14.468,93,1.177,179,2.266,64.87,23.27,0.9269,0.8368,0.9214,0.9307,1.0173,0.6599,0.6175,0.6751,0.6666,🔴 Underperforming — tough situation,0.4844,8476473,"2022-23, 2023-24, 2024-25, 2025-26",76.73,1.561,1.6393,0.704,0.25,125516,66937
Tyler Tucker,STL,D,0.9194,0.5292,0.5756,68,889.3,13.078,92,1.353,102,1.5,73.31,28.5,1.0474,1.0247,1.0025,1.1705,1.0407,0.6479,0.6569,0.6655,0.707,🔴 Underperforming — tough situation,0.4955,8481006,"2022-23, 2023-24, 2024-25, 2025-26",71.5,1.6579,1.7385,0.7312,0.2435,94636,43730
Ryan Lindgren,SEA,D,0.9216,0.5626,0.6104,75,1152.25,15.363,110,1.467,165,2.2,69.79,24.42,0.9971,0.878,0.998,0.9638,1.0218,0.653,0.6892,0.6718,0.7585,🟡 Solid — self made,0.4976,8479324,"2022-23, 2023-24, 2024-25, 2025-26",75.58,1.7624,1.8438,0.6993,0.2533,126877,57820
Travis Sanheim,PHI,D,0.9221,0.7125,0.7726,81,1500.62,18.526,146,1.802,235,2.901,67.47,27.96,0.964,1.0054,0.9562,1.1029,1.08,0.6708,0.6353,0.6854,0.6847,🟢 Elite — self made,0.5189,8477948,"2022-23, 2023-24, 2024-25, 2025-26",72.04,2.232,2.3338,0.7056,0.2535,166203,90224
