player_id,player_name,pos,team,seasons_covered,scenario,games_played,total_5v5_toi_minutes,toi_per_game,oz_faceoff_shifts,oz_faceoff_shifts_per_game,dz_faceoff_shifts,dz_faceoff_shifts_per_game,nz_faceoff_shifts,player_OZ_retention_pct,player_DZ_time_pct,player_DZ_escape_rate_pct,OUER,DUER,OAER,DAER,NZ_ratio
8481550,Adam Beckman,L,MIN,"2022-23, 2023-24",pooled,20,191.03,9.552,19,0.95,29,1.45,39,,,,,,,,
8481521,Ronnie Attard,D,PHI,"2022-23, 2023-24",pooled,14,189.55,13.539,21,1.5,21,1.5,40,,,,,,,,
8483686,Adam Engstrom,D,MTL,2025-26,pooled,15,188.53,12.569,29,1.933,14,0.933,26,,,,,,,,
8483771,Sandis Vilmanis,L,FLA,2025-26,pooled,19,187.57,9.872,44,2.316,14,0.737,49,,,,,,,,
8476884,Derrick Pouliot,D,DAL,"2022-23, 2023-24",pooled,13,183.88,14.145,29,2.231,18,1.385,43,,,,,,,,
8483597,Milos Kelemen,L,ARI,"2022-23, 2023-24",pooled,24,181.8,7.575,27,1.125,33,1.375,49,,,,,,,,
8477463,Steven Santini,D,TBL,"2022-23, 2024-25, 2025-26",pooled,17,180.45,10.615,16,0.941,20,1.176,48,,,,,,,,
8481751,Lukas Rousek,R,BUF,"2022-23, 2023-24",pooled,17,179.42,10.554,38,2.235,22,1.294,29,,,,,,,,
8475163,Alex Chiasson,R,DET,2022-23,pooled,20,177.45,8.872,30,1.5,22,1.1,38,,,,,,,,
8478062,Dysin Mayo,D,CBJ,"2022-23, 2025-26",pooled,18,177.37,9.854,28,1.556,32,1.778,58,,,,,,,,1.2777
8478147,Bokondji Imama,L,PIT,"2022-23, 2023-24, 2024-25, 2025-26",pooled,29,175.77,6.061,28,0.966,20,0.69,43,,,,,,,,
8480825,Patrick Giles,R,SJS,"2024-25, 2025-26",pooled,20,174.72,8.736,27,1.35,25,1.25,44,,,,,,,,
8480306,Grant Hutton,D,NYI,"2023-24, 2024-25",pooled,15,174.63,11.642,12,0.8,19,1.267,27,,,,,,,,
8481441,Joe Snively,C,WSH,"2022-23, 2023-24",pooled,15,173.07,11.538,38,2.533,36,2.4,39,,,,,,,,
8478075,Anders Bjork,L,CHI,2022-23,pooled,14,172.45,12.318,17,1.214,18,1.286,35,,,,,,,,
8479362,Riley Tufte,L,BOS,"2022-23, 2023-24, 2024-25, 2025-26",pooled,18,171.68,9.538,19,1.056,24,1.333,33,,,,,,,,
8482993,Avery Hayes,R,PIT,2025-26,pooled,16,171.35,10.709,23,1.438,12,0.75,42,,,,,,,,
