player_id,games_played,toi_5v5_sec,cf_5v5,ca_5v5,cfpct_5v5
8482742,79,51772,834,864,0.49117
8482744,13,7712,104,137,0.43154
8482745,264,203440,3231,3620,0.47161
8482747,34,19133,339,336,0.50222
8482749,36,23387,391,404,0.49182
8482751,56,36045,568,559,0.50399
8482758,33,24315,436,374,0.53827
8482762,148,162503,2522,2521,0.5001
8482763,8,5773,69,94,0.42331
8482765,44,23488,352,397,0.46996
8482768,95,63487,952,1066,0.47175
8482775,70,44840,699,754,0.48107
8482781,1,540,12,6,0.66667
8482784,9,5280,69,84,0.45098
8482785,2,1304,21,25,0.45652
8482787,11,6264,99,100,0.49749
8482802,9,5143,75,81,0.48077
8482803,130,119816,2045,2091,0.49444
8482804,3,2525,28,23,0.54902
8482807,44,41533,553,611,0.47509
8482809,142,105472,1786,1612,0.5256
8482824,16,13037,189,198,0.48837
8482829,1,394,5,3,0.625
8482834,15,8481,134,127,0.51341
8482858,147,147368,2225,2293,0.49247
8482859,99,52973,766,822,0.48237
8482861,25,18621,261,313,0.4547
8482866,1,845,11,11,0.5
8482873,2,1836,16,33,0.32653
8482874,24,12289,189,182,0.50943
8482877,26,14350,229,222,0.50776
8482896,48,27179,408,449,0.47608
8482911,17,13908,223,184,0.54791
8482929,152,132490,1941,1979,0.49515
8482941,1,445,9,7,0.5625
8482947,30,12264,199,173,0.53495
8482953,6,2029,39,37,0.51316
8482964,209,166293,2556,2728,0.48372
8482993,12,7553,107,118,0.47556
8483012,4,2287,40,40,0.5
8483039,1,325,3,2,0.6
8483045,1,54,2,0,1.0
8483395,35,20985,311,322,0.49131
8483397,23,12254,173,183,0.48596
8483398,28,22641,338,356,0.48703
8483401,1,369,1,6,0.14286
8483406,25,12771,216,204,0.51429
8483407,1,646,7,16,0.30435
8483424,20,11891,193,198,0.49361
8483425,81,66398,963,984,0.49461
8483429,13,7852,117,152,0.43494
8483431,184,145700,2350,2432,0.49143
8483432,25,16322,238,245,0.49275
8483433,1,424,8,7,0.53333
8483435,2,837,9,24,0.27273
8483444,3,1393,24,19,0.55814
8483445,124,91803,1659,1675,0.4976
8483447,67,44128,651,717,0.47588
8483448,35,31540,462,532,0.46479
8483450,52,40799,623,703,0.46983
8483452,8,4862,83,80,0.5092
8483455,11,6403,107,97,0.52451
